카페명,주소,영업시간,전화번호
더파이홀,서울 서대문구 연세로5나길 20 1층,매일 11:00 ~ 22:00,010-4258-1181
독수리다방,서울 서대문구 연세로 36 독수리빌딩 8층,매일 11:00 ~ 23:30,02-363-1222
클로리스 신촌점,서울 서대문구 연세로4길 38,일 13:00 ~ 23:00,02-392-7523
그릭데이 이대본점,서울 서대문구 신촌역로 22-8 대국빌딩 1층,매일 11:00 ~ 21:00,02-363-9222
티앙팡 오후에 홍차 1호점,서울 서대문구 이화여대길 34 1&2층,매일 12:00 ~ 23:00,02-364-4196
호밀밭,서울 서대문구 신촌역로 43 1층,매일 12:00 ~ 22:00,02-392-5345
에이투지카페,서울 서대문구 연세로4길 29 1층,매일 12:30 ~ 23:00,02-313-7523
와플잇업 이대2호점,서울 서대문구 이화여대3길 42-19,매일 12:00 ~ 22:00,070-4410-2829
스타벅스 이대R점,서울 서대문구 이화여대길 34,일 09:00 ~ 19:00,1522-3232
미네르바,서울 서대문구 명물길 18 2층,일요일,02-3147-1327
커피크레페 본점,서울 서대문구 신촌로 87-8 1층,매일 09:00 ~ 22:00,0507-1430-3688
스타벅스 신촌점,서울 서대문구 연세로 10-1 즐거운빌딩 1~3층,일 08:00 ~ 21:00,1522-3232
문베어,서울 서대문구 명물길 66 1층,매일 11:00 ~ 23:00,02-393-9488
설빙 신촌점,서울 서대문구 연세로 23 2층,매일 10:30 ~ 23:00,070-7716-8970
고양이다락방,서울 서대문구 연세로 25-1 3층 1호,매일 12:00 ~ 22:00,010-2618-9747
벨라프라하,서울 서대문구 이화여대길 77 1층,일요일,02-363-3559
스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층,일 10:00 ~ 21:00,1522-3232
베어스덴,서울 서대문구 연희로4길 10 1&2층,토&일 10:00 ~ 18:00,
옥루몽 신촌본점,서울 서대문구 연대동문길 18 LOFT 1층,토&일 10:00 ~ 22:00,02-312-0015
메가MGC커피 신촌점,서울 서대문구 연세로5가길 8-6 1&2층,월&화&수&목&일 08:00 ~ 23:00,02-336-6051
원앤온리커피,서울 서대문구 이화여대7길 31-4 1층,일요일,
