카페명|주소|영업시간|전화번호
프릳츠 도화점|서울 마포구 새창로2길 17|월~금 08:00 ~ 22:00|02-3275-2045
어반플랜트 합정|서울 마포구 독막로4길 3 1~3층|매일 10:00 ~ 22:00|070-4192-0378
피오니 홍대점|서울 마포구 독막로7길 51 1층|매일 12:00 ~ 21:00|02-333-5325
카페공명 연남점|서울 마포구 연희로 11 한국특허정보원빌딩 1층|매일 10:00 ~ 22:00|070-8869-6304
943킹스크로스|서울 마포구 양화로16길 24 지하1층, 1~4층|월~목 11:30 ~ 21:30|
앤트러사이트 서교점|서울 마포구 월드컵로12길 11|월~금 10:00 ~ 21:30|02-336-7650
비파티세리 공덕점|서울 마포구 마포대로14길 4 1층|매일 10:00 ~ 22:00|02-702-1220
카페 레이어드 연남점|서울 마포구 성미산로 161-4|매일 10:00 ~ 22:00|
커피리브레 연남점|서울 마포구 성미산로32길 20-5 1,2층|매일 11:00 ~ 20:00|02-334-0615
앤트러사이트 합정점|서울 마포구 토정로5길 10|매일 09:00 ~ 22:00|02-336-7850
테일러커피 서교점|서울 마포구 와우산로27길 7 2층|매일 11:00 ~ 22:00|02-334-0355
땡스네이쳐|서울 마포구 홍익로 10 푸르지오상가 지하1층 121호|매일 12:00 ~ 21:00|02-332-7470
포비 합정점|서울 마포구 양화로3길 66 1층|매일 10:30 ~ 21:00|02-566-3861
콜린|서울 마포구 어울마당로 45 1,2층|매일 10:30 ~ 23:00|02-3141-1119
빌리프커피로스터스|서울 마포구 양화로11길 50 해동빌딩 지하1층,1층|매일 09:30 ~ 22:30|02-332-3100
빈브라더스 합정점|서울 마포구 토정로 35-1|매일 11:00 ~ 21:00|02-6012-2001
이미커피|서울 마포구 동교로25길 7 1층|수~일 12:00 ~ 21:00|02-6368-5228
디벙크|서울 마포구 성지1길 30 더보이드빌딩 지하1층|매일 10:00 ~ 23:00|02-6930-5598
작당모의|서울 마포구 동교로32길 19 1층 101,102호|매일 12:00 ~ 21:00|070-8838-3815
당인리책발전소|서울 마포구 월드컵로14길 10-8 지하층 ,1층|매일 10:00 ~ 22:00|
