카페명|주소|영업시간|전화번호
어니언 미아|서울 강북구 솔매로50길 55 서울강북우체국 1층|매일 10:00 ~ 22:00|070-7816-2714
무너미|서울 강북구 노해로8가길 40 1층|매일 12:00 ~ 21:00|02-903-5058
한옥카페 선운각|서울 강북구 삼양로173길 223||
미즐카페엠|서울 강북구 4.19로 107 1층|매일 11:00 ~ 22:00 · 휴게시간 매일 15:00 ~ 16:30|02-999-5055
아카데미하우스|서울 강북구 4.19로 135|매일 10:00 ~ 22:00|
옥류헌릴렉스|서울 강북구 삼양로181길 142|매일 11:00 ~ 21:30|02-993-1829
카페산아래|서울 강북구 삼양로181길 56|월~금 11:30 ~ 21:00|
경계선|서울 강북구 삼각산로 22-7 1층|화~일 11:00 ~ 19:00|010-3957-7341
카페멘디|서울 강북구 4.19로8길 7-2 1층|화~일 10:00 ~ 21:00|02-990-7832
큐브이스케이프 수유점|서울 강북구 도봉로87길 11 2층|월~금 13:30 ~ 22:30|02-903-0706
노르웨이안우드|서울 강북구 도봉로87길 32-6 1,2층||02-999-3738
백란|서울 강북구 삼양로181길 201-20|매일 11:00 ~ 22:00|02-993-7745
스타벅스 수유역점|서울 강북구 도봉로 342|목,금 07:00 ~ 22:30|1522-3232
스타벅스 미아사거리역점|서울 강북구 도봉로 32|월~금 07:00 ~ 22:00|1522-3232
제이제곱|서울 강북구 도봉로10나길 17 1층|매일 12:00 ~ 22:30|010-4883-4249
스타벅스 강북구청사거리점|서울 강북구 도봉로 365|목~일 08:00 ~ 22:00|1522-3232
다정도병인양|서울 강북구 4.19로 41-1 2층|화~일 12:00 ~ 22:00|02-990-4190
전광수커피하우스 북한산점|서울 강북구 4.19로 97 1층|매일 11:00 ~ 23:00|02-991-0233
카페비르케|서울 강북구 4.19로 43 1,2층|매일 10:00 ~ 23:00|02-997-5841
맨덜리|서울 강북구 수유로 18|월,화,목,금,토,일 11:00 ~ 22:00|02-980-3721
스타벅스 미아뉴타운점|서울 강북구 삼양로 161 행전빌딩|월~금 07:00 ~ 22:00|1522-3232
투썸플레이스 수유사거리점|서울 강북구 도봉로 295 스타타워|월~금 07:30 ~ 22:30|02-900-2388
몽브루|서울 강북구 4.19로 105|월~금 11:00 ~ 23:00|02-904-1003
스타벅스 파라스파라서울점|서울 강북구 삼양로 689|매일 08:00 ~ 20:00|1522-3232
구테로이테 에피소드점|서울 강북구 도봉로 315 에피소드수유838 1층 R104~106호|매일 08:00 ~ 22:00|02-6229-1117
스타벅스 미아역점|서울 강북구 도봉로 196 1층|월~금 07:00 ~ 22:00|1522-3232
에이머그|서울 강북구 노해로 21 1층|매일 10:00 ~ 22:00|02-6953-2629
커피타는고양이|서울 강북구 도봉로 34-8 10층|매일 12:00 ~ 20:00|02-980-9080
할리스 수유사거리점|서울 강북구 도봉로82길 11 2~4층|매일 08:00 ~ 23:00|070-5226-1999
엔제리너스 수유역점|서울 강북구 도봉로 333|매일 00:00 ~ 24:00 · 휴게시간 매일 04:00 ~ 05:00|02-994-8556
투썸플레이스 미아테라스파크점|서울 강북구 삼양로27길 43 테라스파크 2층 208~210호|매일 08:30 ~ 22:00|02-985-2355
아띠랑스|서울 강북구 4.19로 42-1 1층|매일 10:00 ~ 23:00|
키치|서울 강북구 도봉로 387 1층|매일 12:00 ~ 01:00|070-8244-0030
엔제리너스 미아삼거리역점|서울 강북구 도봉로10나길 4|매일 08:00 ~ 24:00|02-987-0047
투썸플레이스 북서울꿈의숲점|서울 강북구 월계로 183 1층|매일 09:00 ~ 22:30|02-542-7711
투썸플레이스 강북구청점|서울 강북구 한천로 1035 1층|월,화,수,목,일 08:00 ~ 23:00|02-6953-9227
투썸플레이스 북한산우이역점|서울 강북구 삼양로 685|매일 08:00 ~ 21:00|02-993-9173
