카페명|주소|영업시간|전화번호
도봉관|서울 도봉구 노해로 261 1,2층|매일 11:00 ~ 21:00|02-991-1231
쌍문동커피|서울 도봉구 도봉로116길 5 지하 1,1층|월~금 10:00 ~ 23:00|
꿀소담|서울 도봉구 해등로16길 67 1,2층|매일 08:00 ~ 24:00|010-9092-1512
카페오븐|서울 도봉구 해등로16길 12 현대아파트상가동 2층 201호|화~토 12:00 ~ 23:00|02-3141-0089
스타벅스 도봉로DT점|서울 도봉구 도봉로 635|매일 07:00 ~ 22:00|1522-3232
엉클두|서울 도봉구 노해로63가길 37 1층|매일 09:00 ~ 23:00|
몽상가 크레이프전문점|서울 도봉구 도봉로143길 30 1층|수~일 12:00 ~ 20:00|
카페152길|서울 도봉구 도봉로152길 29-3 1층|매일 08:30 ~ 22:00|02-954-1520
산과산사이커피로드|서울 도봉구 도봉로180가길 96 4층|매일 09:00 ~ 23:00|070-4177-8197
스타벅스 방학역점|서울 도봉구 도봉로 684 1층|월~목 07:30 ~ 21:00|1522-3232
로로옴|서울 도봉구 도봉로152가길 152|월~금 11:00 ~ 20:00|02-6091-8800
스타벅스 쌍문역점|서울 도봉구 도봉로 480|월~금 07:00 ~ 22:00|1522-3232
세라젬웰카페 서울쌍문직영점|서울 도봉구 도봉로 571 1층|매일 11:00 ~ 20:00|02-6949-5325
도봉산커피|서울 도봉구 도봉산4가길 4|매일 08:00 ~ 22:00|010-9945-7145
투썸플레이스 창동역점|서울 도봉구 노해로 381 1층|매일 08:00 ~ 23:30|02-994-2388
스타벅스 쌍문도봉로점|서울 도봉구 도봉로 444 1층|월~금 07:00 ~ 21:00|1522-3232
만남의광장|서울 도봉구 도봉동 288-20||02-956-4545
카페에덴|서울 도봉구 방학로 306|매일 11:00 ~ 22:00|02-3491-3331
카페고르|서울 도봉구 도봉로112길 38 1층|매일 12:00 ~ 22:00|
투썸플레이스 도봉보건소점|서울 도봉구 도봉로 578|매일 09:00 ~ 22:00|02-902-2427
스타벅스 창동이마트점|서울 도봉구 노해로65길 4|월~금 10:00 ~ 21:00|1522-3232
메종드쌍문|서울 도봉구 해등로 158-1 1층|월,수,목,금,토,일 09:00 ~ 22:00|02-6449-9122
키웨스트 연산군묘점|서울 도봉구 방학로17길 85 1,2층|매일 10:30 ~ 22:00|
디어트리|서울 도봉구 삼양로162길 51-7 제이스타빌 1층|월~금 10:30 ~ 20:00|
투썸플레이스 방학역점|서울 도봉구 도봉로 696 2층|월~금 10:00 ~ 21:30|02-954-7799
카페도영|서울 도봉구 도봉산길 65-5 라동 지하1층, 1층|매일 08:00 ~ 20:00|0507-1367-7437
카미노커피로스터스|서울 도봉구 도당로 46 1층|매일 08:00 ~ 22:00|
스타벅스 창동역점|서울 도봉구 마들로13길 61|월~토 07:00 ~ 22:00|1522-3232
이탈리안G|서울 도봉구 도봉로 675||02-955-7214
카페더로비|서울 도봉구 방학로 171-5|화~일 11:00 ~ 23:00|02-954-1715
투썸플레이스 쌍문중앙점|서울 도봉구 도봉로 482|월~금 07:00 ~ 23:00|02-991-2377
투썸플레이스 도봉산입구점|서울 도봉구 도봉산4가길 13-11|월,화,수,목,금,일 09:30 ~ 21:30|02-3492-7778
온도감|서울 도봉구 도당로 66-1 1층|월~토 12:00 ~ 20:00|
무수울카페|서울 도봉구 도봉로173길 124|매일 09:00 ~ 20:00|
설빙 서울도봉방학점|서울 도봉구 방학로 165 2층|매일 11:00 ~ 23:00|02-6014-2222
가배미혼|서울 도봉구 도봉로115길 4||
투썸플레이스 쌍문역점|서울 도봉구 도봉로 461 원형빌딩 1층|월~토 08:30 ~ 22:00|02-998-2377
메가MGC커피 창동역점|서울 도봉구 마들로11가길 13 1층 105호|매일 09:00 ~ 21:30|02-998-4242
탐앤탐스 창동본점|서울 도봉구 노해로 285 1층|매일 07:00 ~ 23:50|02-543-3242
만랩커피 창동역점|서울 도봉구 노해로63길 82 1,2층|월~토 09:00 ~ 23:30|02-998-1002
숲오|서울 도봉구 우이천로48길 12|매일 12:00 ~ 22:00|
커피스미스 도봉역점|서울 도봉구 도봉로152가길 176 1,2층|월~금 08:00 ~ 23:00|02-948-6900
카페푸쿠푸쿠|서울 도봉구 노해로45길 17 1층|화~금 11:00 ~ 19:00|0507-1303-5711
카페녹천|서울 도봉구 노해로66길 125 하나타운하우스 1층 1호||070-4833-5078
설빙 서울쌍문역점|서울 도봉구 도봉로 460 2층|매일 11:00 ~ 23:00|02-991-0077
매일이기념일|서울 도봉구 우이천로24길 69 1층|화~일 10:00 ~ 21:00|010-9013-7962
투썸플레이스 창동이마트점|서울 도봉구 노해로65길 14-3 2층|매일 09:00 ~ 22:30|
리프패럿 방학동점|서울 도봉구 도당로 80 4층 401호||010-2814-0616
카페유노|서울 도봉구 마들로 657 ESA아파트 상가 1층 118,119호|월~금 08:00 ~ 24:00|
세이지|서울 도봉구 해등로 241-55 2층|월,화,목,금 09:00 ~ 18:00|010-493-4594
파스쿠찌 창동점|서울 도봉구 도봉로 558 2층||02-461-1942
도본|서울 도봉구 우이천로 288-3 1층|월~토 10:00 ~ 22:00|070-7543-3557
에스트로|서울 도봉구 노해로63가길 31-11 명성빌딩 1층|매일 09:30 ~ 22:00|
어로어|서울 도봉구 해등로16길 52-19 지하 1층, 1층|매일 10:00 ~ 22:00 · 휴게시간 매일 21:30 ~ 22:00|02-2205-8588
희서커피|서울 도봉구 도봉로169길 266-38 1층|월~토 10:00 ~ 18:00|02-599-0740
메가MGC커피 쌍문역점|서울 도봉구 도봉로 492 1층||02-991-1041
탐앤탐스 도봉산입구점|서울 도봉구 도봉산4길 4-13 1,2층|매일 08:00 ~ 22:00|02-955-4565
스타벅스 도봉구청점|서울 도봉구 마들로 665|월~금 07:00 ~ 21:30|1522-3232
메가MGC커피 신도봉시장점|서울 도봉구 도봉로 727 1층||02-955-5556
메가MGC커피 쌍문세라믹점|서울 도봉구 도당로 14 다보빌딩 1층|매일 10:30 ~ 22:00|02-999-0787
창포원북카페 비상|서울 도봉구 마들로 916 방문자센터 2층||02-954-5254
스위트가든|서울 도봉구 방학로5길 16|화~일 09:00 ~ 19:00|02-900-1232
커피홀 창동점|서울 도봉구 도봉로136가길 69 101호|매일 08:30 ~ 22:00|02-955-0500
메가MGC커피 방학도깨비시장점|서울 도봉구 도당로 81 1층|매일 08:00 ~ 22:00|02-3491-9279
티끌|서울 도봉구 노해로 235 1층 좌측,티끌|화~토 11:30 ~ 19:00|0507-1319-9534
