카페명|주소|영업시간|전화번호
라라브레드 공릉점|서울 노원구 공릉로41길 32|매일 10:00 ~ 21:00|1800-2790
감각|서울 노원구 상계로 77 1층|매일 11:00 ~ 23:00|070-7576-4177
시드누아 노원본점|서울 노원구 상계로 84|매일 08:30 ~ 02:00|02-938-9559
시즌|서울 노원구 상계로3길 38-2 2층|화~일 13:00 ~ 22:00|
카페드미셸|서울 노원구 화랑로 441 미라쉘 1,2층|매일 08:00 ~ 23:00|02-971-1100
커피베스코|서울 노원구 상계로 55 2층|월~금 10:30 ~ 01:00|
스타벅스 공릉DT점|서울 노원구 동일로 1015|매일 07:00 ~ 22:00|1522-3232
샛별제과|서울 노원구 상계로9길 23 101호||
아너카페|서울 노원구 동일로192다길 9|월~목 11:00 ~ 01:00|
스타벅스 노원역점|서울 노원구 동일로 1413 남성빌딩 1층|월~목 07:00 ~ 22:00|1522-3232
따미커피|서울 노원구 공릉로 120|매일 11:00 ~ 22:00|070-7793-1201
오피셜커피|서울 노원구 동일로184길 69-7 1층 101호|매일 09:00 ~ 24:00|
스타벅스 상계초교사거리점|서울 노원구 노원로 449|매일 08:30 ~ 22:00|1522-3232
커피콩|서울 노원구 동일로191가길 19 1층|월~금 10:00 ~ 21:00|02-977-6164
스타벅스 공릉역점|서울 노원구 동일로 1081|매일 07:30 ~ 21:30|1522-3232
오누이|서울 노원구 동일로187길 12-47 1층|화~토 11:00 ~ 20:00|
더메이즈 노원점|서울 노원구 상계로5길 26 6층|매일 10:00 ~ 23:00|02-6012-2620
스윗레시피|서울 노원구 상계로1길 38 2층|매일 13:00 ~ 21:00|
던모스|서울 노원구 공릉로27길 8 1, 2층|월~목 12:00 ~ 22:00|010-3244-5044
투썸플레이스 노원문화의거리점|서울 노원구 상계로 69 201, 202호|매일 00:00 ~ 24:00|02-935-2388
스타벅스 중계역점|서울 노원구 동일로 1339 대한빌딩|월~금 07:00 ~ 22:00|1522-3232
스타벅스 태릉입구역DT|서울 노원구 화랑로 469|매일 07:00 ~ 22:00|
스타벅스 노원KT점|서울 노원구 노해로 502|월~금 07:00 ~ 21:30|1522-3232
몽실디저트|서울 노원구 상계로 51 노원프라자빌딩 1층 105호|매일 11:30 ~ 22:00|010-3072-9855
라트커피|서울 노원구 한글비석로 245 두타빌상가 B동 1층 124호|월~토 08:00 ~ 19:00|02-933-3505
플로레스테이블|서울 노원구 상계로5길 12 3층|화~일 13:00 ~ 22:00|02-931-9312
스타벅스 노원마들역점|서울 노원구 노원로 547 임광아파트상가|매일 08:00 ~ 21:30|1522-3232
디저트식탁|서울 노원구 상계로1길 14-29 2층|월,수,목,금,토,일 13:00 ~ 22:00|02-930-3313
커피빈 노원역점|서울 노원구 노해로 490 길빌딩 2층|월~목 07:00 ~ 23:00|02-952-9577
스타쿠빙|서울 노원구 동일로 1019|매일 11:30 ~ 21:00|02-949-1885
미라쥬양과점|서울 노원구 동일로196길 15 1층|월,수,목,금,토,일 12:00 ~ 20:00|010-2006-9433
카페기차가있는풍경|서울 노원구 화랑로 608 1~3층|화~일 11:00 ~ 21:00|02-2116-4398
502세컨즈카페 노원점|서울 노원구 섬밭로 232 SMMA강북사옥 1층|매일 09:00 ~ 24:00|070-4465-7996
이너모스트|서울 노원구 동일로183길 12-14 1층|매일 12:00 ~ 22:00|
에슬로우커피 공릉점|서울 노원구 노원로 3 우토파크프라자 1층|매일 08:00 ~ 22:00|02-949-4542
무드쉐어|서울 노원구 공릉로 119-23 1층 101호|매일 12:00 ~ 23:00|070-8286-6626
블루마일스커피로스터즈|서울 노원구 동일로190길 65 우화빌딩 2층|2024년 1월 15일 ~ 2024년 1월 19일 휴무|02-979-1003
플랫커피|서울 노원구 공릉로39길 20 1층 101호|목요일|010-5571-0776
어빌리티커피 공릉|서울 노원구 동일로180길 61-7 1층|매일 10:00 ~ 23:00|010-9768-0114
르다|서울 노원구 상계로9길 28 1층|월,화,목,금,토,일 12:00 ~ 23:00|02-938-5599
화이트아떼|서울 노원구 노원로26길 69 오성빌딩 2층|화~일 10:00 ~ 21:00|010-4322-8865
메트로폴리스|서울 노원구 동일로178길 11-9 1층|매일 10:00 ~ 24:00|
카페밀크콩 하계점|서울 노원구 공릉로59나길 48-8 1,2층|월~금 08:00 ~ 22:30|070-8821-9345
스타벅스 월계역점|서울 노원구 초안산로2라길 26 104~106호|매일 08:00 ~ 21:00|1522-3232
카페포레스트|서울 노원구 한글비석로12길 51-49|화~일 10:00 ~ 18:00|02-2116-0598
할리스 노원문화의거리점|서울 노원구 노해로81길 22-26 1층|월,화,수,목,일 08:00 ~ 24:00|02-935-8231
케어프리|서울 노원구 동일로242가길 14-6 1층|매일 10:00 ~ 22:00|070-7808-2018
투썸플레이스 석계역점|서울 노원구 석계로1길 10 2층|매일 08:00 ~ 02:00|02-915-7955
세라젬웰카페 서울중계직영점|서울 노원구 덕릉로 688 1층|매일 11:00 ~ 20:00|02-6951-0825
커피정원|서울 노원구 동일로242라길 12-3|월~금 11:00 ~ 23:00|02-935-7149
스타벅스 은행사거리점|서울 노원구 중계로 217 중흥빌딩 103,203호|월~금 07:00 ~ 22:30|1522-3232
투썸플레이스 노원공릉점|서울 노원구 동일로192길 52|월,화,수,목,일 09:00 ~ 24:00|02-971-5656
메가MGC커피 노원역점|서울 노원구 노해로 459 메가빌딩 1층|월~토 07:30 ~ 22:30|02-930-7373
마카모예 브레드바|서울 노원구 동일로190길 61 지하1층, 1, 2층|2023년 12월 30일 ~ 2024년 1월 31일 휴무|02-6449-2228
브런힐|서울 노원구 중계로8길 48 1층|화~일 10:00 ~ 21:00|02-935-0000
카페멍스 노원점|서울 노원구 상계로5길 19 2층 201호|매일 11:00 ~ 21:30|02-933-7779
설빙 서울수락산역점|서울 노원구 동일로242길 32 2층|매일 10:00 ~ 23:00|02-938-6442
투썸플레이스 수락산역점|서울 노원구 동일로243길 13 1층|매일 08:00 ~ 23:00|02-936-2241
설빙 노원역점|서울 노원구 상계로 65 현성빌딩 2층|월~토 11:30 ~ 22:30|02-952-8970
투썸플레이스 상계사거리점|서울 노원구 동일로 1374 미산빌딩 2층|매일 08:00 ~ 23:00|02-937-0014
스타벅스 노원상계점|서울 노원구 동일로215길 2|월~금 07:00 ~ 21:00|1522-3232
커피나무 노원역점|서울 노원구 상계로1길 14-11|월~금 07:00 ~ 23:00|02-931-7193
스타벅스 광운대점|서울 노원구 석계로 104|월~금 08:00 ~ 20:00|1522-3232
메모아|서울 노원구 동일로174길 37-16 JIN빌딩 1층|월,수,목,금,토,일 10:00 ~ 19:00|
투썸플레이스 노원구청점|서울 노원구 노해로 449 덕화빌딩 1~2층|월~금 07:00 ~ 22:30|02-6959-1880
아티스트웨이|서울 노원구 동일로192다길 55|화~일 11:00 ~ 22:00|
1일1잔|서울 노원구 광운로2길 6 1층|월~금 12:00 ~ 19:00|
더숲|서울 노원구 노해로 480 조광빌딩 지하 1,2층|매일 10:00 ~ 22:00|02-951-0206
우아즈|서울 노원구 공릉로27길 72-3 1층|월,화,목,금,토,일 12:00 ~ 22:00|0507-1444-8092
카페 페페|서울 노원구 노해로 459 메가빌딩 1층|월~금 08:00 ~ 22:00|02-933-1755
투썸플레이스 상계점|서울 노원구 한글비석로 412|월~토 08:00 ~ 22:00|070-7558-8984
마이브라더스|서울 노원구 공릉로46길 28 상가동 101호|월~토 09:00 ~ 22:00|
위플랜트위커피|서울 노원구 동일로178길 59-39 2층|매일 12:00 ~ 21:00|
샹드마르스커피 공릉점|서울 노원구 공릉로37길 23 4,5층|매일 11:00 ~ 21:00|
투썸플레이스 중계은행사거리점|서울 노원구 한글비석로 242 삼부플라자 1층|매일 08:00 ~ 22:30|
쿠방플러스|서울 노원구 노원로26길 39 덕산빌딩 1층 102호|화~일 10:00 ~ 20:00|02-939-4104
할리스 태릉입구역점|서울 노원구 화랑로 453 1층|매일 09:00 ~ 22:00|02-976-0078
37.5 노원하계점|서울 노원구 노원로 238 1층|매일 09:30 ~ 21:30 · 휴게시간 매일 16:00 ~ 17:00|02-979-3705
메가MGC커피 태릉입구역점|서울 노원구 동일로 986 노원프레미어스 엠코 101동 109호|월~금 07:00 ~ 23:00|02-949-5001
우리행성|서울 노원구 노원로32길 42-22 1층|매일 10:00 ~ 19:00|02-933-1214
753베이글비스트로|서울 노원구 공릉로26길 32 1,2층|월~금 10:00 ~ 19:00|010-3036-7736
스트릿츄러스 광운대점|서울 노원구 광운로 21 동해문화예술회관 1층|매일 10:00 ~ 23:00|02-911-5896
메가MGC커피 노원중앙점|서울 노원구 노해로 509 대국빌딩 1층|매일 08:00 ~ 24:00|
투썸플레이스 노원하계1동점|서울 노원구 노원로 238 1층 4호|매일 08:00 ~ 22:00|02-971-1911
빽다방 노원역우리은행점|서울 노원구 노해로 482 덕영빌딩 102호|매일 07:40 ~ 21:00|02-930-1350
배배커피 노원점|서울 노원구 노해로 517-9 1층|매일 11:00 ~ 23:00|010-7675-9184
모비딕|서울 노원구 동일로 1083 2층|매일 12:00 ~ 22:00|070-7584-8909
호호커피집|서울 노원구 화랑로 337-21 1층|월~금 09:00 ~ 18:00|070-4401-8454
할리스 노원역점|서울 노원구 노해로 488 근호빌딩 1층|월~목 08:30 ~ 22:00|02-933-8824
메가MGC커피 노원을지병원점|서울 노원구 공릉로 324-2 1층||02-971-0101
유니온커피로스터|서울 노원구 동일로198길 72 1층|매일 08:00 ~ 22:00|010-7400-5007
카페해안|서울 노원구 공릉로42길 107 지층 1호|화~토 10:30 ~ 21:00|070-7543-3895
커스텀커피 노원중계점|서울 노원구 한글비석로 245 두타빌 A동 1층 117,118호|매일 07:30 ~ 21:00|0507-1391-4945
메가MGC커피 석계역점|서울 노원구 화랑로 337 1층 103호|매일 07:30 ~ 23:00|02-943-7743
파스쿠찌 공릉역점|서울 노원구 동일로191길 7 청배빌딩 1,2층|매일 09:00 ~ 24:00|02-972-8497
메가MGC커피 중계브라운스톤점|서울 노원구 동일로203가길 29 1층 173,174호||02-978-4400
빽다방 노원문화의거리점|서울 노원구 노해로79길 6-19 화랑상가 나동 1층 104호|매일 08:00 ~ 21:30|02-939-1350
탐앤탐스 티티클럽노원점|서울 노원구 노해로 507 1층|매일 10:00 ~ 24:00|02-950-0479
맨시니스|서울 노원구 한글비석로22길 28 예원빌딩 4층|월~토 11:00 ~ 01:00|070-7759-3976
금남커퓌|서울 노원구 노원로30길 45|매일 09:00 ~ 22:00|02-932-0517
카페언덕길|서울 노원구 월계로44가길 40 1층 101호|매일 09:30 ~ 19:30|010-7422-0430
설빙 서울은행사거리점|서울 노원구 중계로 218 원광빌딩 201호|매일 11:00 ~ 22:00|02-6395-8008
커피빈 중계동은행사거리점|서울 노원구 한글비석로 263 성모빌딩 1층|월~목 07:00 ~ 22:00|02-931-3055
리즈|서울 노원구 공릉로58길 87|월~금 09:00 ~ 18:00|010-2956-9420
메가MGC커피 노원로데오점|서울 노원구 상계로3길 16 동원빌딩 1층||02-939-2223
바미디저트|서울 노원구 상계로7길 22 우성아파트상가 103호|화~금 12:00 ~ 21:00|010-9552-9989
나무늘보카툰&북카페|서울 노원구 공릉로 187 건설빌딩 2층|화~일 11:00 ~ 23:00|070-8839-7241
마비노스커피|서울 노원구 한글비석로52길 4 지하층|월~금 09:00 ~ 20:00|070-4842-9226
메가MGC커피 공릉역점|서울 노원구 동일로192길 30 1층|월~금 09:00 ~ 22:30|02-971-7703
홀리몰리베이글리|서울 노원구 화랑로51가길 21-19|월~토 09:00 ~ 20:00|
메가MGC커피 수락산역점|서울 노원구 동일로 1700 토마토파르코 1층 114호|매일 08:00 ~ 23:00|02-938-6587
온도|서울 노원구 덕릉로123길 19 1층|월~토 09:00 ~ 21:00|02-936-5974
설빙 서울과기대점|서울 노원구 동일로192길 88 오성빌딩 2층 201호|매일 11:00 ~ 23:20|02-6052-1300
메가MGC커피 공릉도깨비시장점|서울 노원구 동일로 1026 1층||02-971-6469
이디야커피 노원사거리점|서울 노원구 동일로 1393 106호|매일 09:00 ~ 23:30|02-933-3325
카페쉔|서울 노원구 동일로184길 52 1층|월,수,목,금 11:00 ~ 20:00|
오피커피|서울 노원구 노원로26나길 12 1층|화~일 11:00 ~ 21:00|
컴포즈커피 노원역점|서울 노원구 동일로 1426 108호|월~금 08:00 ~ 22:00|02-933-5955
커스텀커피 노원역점|서울 노원구 노해로 452 1층 103, 104호|월~토 10:00 ~ 20:00|02-3391-0507
메가MGC커피 상계백병원점|서울 노원구 동일로 1356 상계주공4단지아파트 상가동 1층 112호|월~금 07:30 ~ 22:00|02-931-0100
시크릿룸카페|서울 노원구 상계로 70||
멀키커피|서울 노원구 덕릉로118길 11 1층|월~금 10:00 ~ 18:00|070-8648-0009
바이레인|서울 노원구 동일로182길 37-6 1층|매일 12:00 ~ 20:30|
할리스 수락산역점|서울 노원구 동일로239가길 22 1층||02-951-3266
아워리|서울 노원구 중계로2길 84 1층 101호|월~토 11:00 ~ 22:00|070-8825-0520
메가MGC커피 상계역점|서울 노원구 덕릉로83길 18 1층 102호||02-933-7134
이디야커피 상계역사거리점|서울 노원구 한글비석로 409 1,2층|매일 09:00 ~ 21:00|
템포커피 하계점|서울 노원구 노원로 236 삼화빌딩 1층|매일 08:00 ~ 22:00|
빽다방 노원역북부점|서울 노원구 상계로3길 21 화일빌딩 1층 101호|매일 08:00 ~ 22:00|02-2138-2405
메가MGC커피 마들역점|서울 노원구 동일로 1541 11단지종합상가 1층 103,104호||02-939-4836
후아나 석계점|서울 노원구 석계로1길 18 301호|매일 12:00 ~ 23:00|02-918-2885
읍천리382 노원중계점|서울 노원구 중계동 589 신일아파트 1층 109호|매일 09:00 ~ 22:00|02-933-0382
탐앤탐스 하계점|서울 노원구 섬밭로 258 1층|매일 00:00 ~ 24:00|02-949-6644
이디야커피 태릉입구역점|서울 노원구 공릉로 105 1층|매일 09:00 ~ 21:30|02-977-9979
노원실버카페|서울 노원구 중계동 507-3||02-949-3757
루프독1027|서울 노원구 동일로 1027 송이빌딩 5층|매일 11:00 ~ 20:00|010-3764-1024
메가MGC커피 수락중앙점|서울 노원구 동일로 1651 1층 4호|월~토 08:00 ~ 22:00|02-932-3974
메가MGC커피 중계씨앤미점|서울 노원구 동일로204가길 34 씨앤미복합빌딩 1층 104호||02-977-6849
메가MGC커피 상계수락점|서울 노원구 동일로 1596 송현빌딩||02-936-4536
커피파는술집|서울 노원구 노해로85길 15-7|매일 14:00 ~ 03:00|
너브커피|서울 노원구 화랑로 425-43 1층|매일 14:00 ~ 20:00|
설빙 상계역점|서울 노원구 덕릉로87길 21 2층|매일 11:30 ~ 22:00|02-935-3850
공차 서울과기대점|서울 노원구 공릉로 227 1층|매일 09:30 ~ 22:30|02-977-5856
설빙 광운대점|서울 노원구 광운로 25 2층|매일 11:00 ~ 23:00|02-6953-9749
커피빈 KB국민은행노원역점|서울 노원구 동일로 1405 1층|월~금 07:00 ~ 21:00|02-930-9486
슬슬커피|서울 노원구 석계로11길 35 1층|영업시간 월~금 12:00 ~ 17:00|02-6404-5714
매머드커피 상계역점|서울 노원구 한글비석로 384 대호상가 1층 125호|매일 09:00 ~ 22:00|
카페민 공릉동본점|서울 노원구 동일로184길 6 1층|월~금 09:00 ~ 24:00|02-977-7695
엔젤로|서울 노원구 동일로178길 39-54 1층 101호|매일 12:00 ~ 21:00|0507-1303-9392
리노커피|서울 노원구 동일로237가길 21||02-938-8076
버터레이크|서울 노원구 공릉로38길 19 3층|수~토 12:00 ~ 19:00|0507-1332-8635
메가MGC커피 상계중앙시장점|서울 노원구 상계로27길 12 경인빌딩 1층 111호||02-933-8088
메가MGC커피 중계중앙점|서울 노원구 덕릉로73길 15 1층||02-938-5060
카페니니|서울 노원구 광운로 59|월~토 11:00 ~ 23:00|02-2138-1884
언더우드커피로스터스|서울 노원구 공릉로 119-5 이지스퀘어 1층|월~금 09:00 ~ 20:00|070-7633-9179
물레|서울 노원구 노해로81길 12-20 LC빌딩 지하1층|월,화,수,목,일 12:00 ~ 24:00|
카페미니|서울 노원구 동일로242가길 30-12 1층|화~토 09:00 ~ 21:30|
읍천리382 석계역점|서울 노원구 석계로5길 11 1층|매일 09:00 ~ 22:00|010-7774-3820
빽다방 하계을지병원점|서울 노원구 공릉로 326 1층|매일 08:00 ~ 22:00|02-922-3100
빔블커피&베이커리|서울 노원구 동일로184길 69-3|매일 10:00 ~ 23:00|
GB스토어카페|서울 노원구 화랑로51길 28 1층|매일 10:00 ~ 21:00|02-977-3560
메가MGC커피 중계은행사거리점|서울 노원구 한글비석로 270 스카이타워 1층 105호||02-938-1231
컴포즈커피 상계중앙점|서울 노원구 상계로23다길 13-8 노원아이파크 101동 110,111호|매일 08:00 ~ 22:00|02-932-0972
포멜로우|서울 노원구 동일로193길 36-1 1층|화~금 11:00 ~ 20:00|070-4115-0408
메가MGC커피 상계보람점|서울 노원구 한글비석로 464 1층|매일 08:00 ~ 22:00|02-935-5550
디저트39 공릉점|서울 노원구 공릉로 153 1층|매일 10:00 ~ 23:00|02-977-3972
이디야커피 당고개역점|서울 노원구 상계로 313 1층|월~금 08:00 ~ 23:00|02-938-2808
빽다방 태릉입구역점|서울 노원구 동일로 986 104호|매일 08:00 ~ 21:00|070-4077-2127
폴바셋 노원점|서울 노원구 동일로 1414 지하1층|매일 10:30 ~ 20:00|
디저트39 노원점|서울 노원구 상계로 97-4 1층 101호|월~토 10:00 ~ 22:00|02-934-3939
스타벅스 월계트레이더스점|서울 노원구 마들로3길 17|매일 10:00 ~ 21:30|1522-3232
이디야커피 노원중앙점|서울 노원구 노원로 452 1층|매일 08:00 ~ 22:00|02-930-3219
공차 노원역점|서울 노원구 노해로 494 104,105호|매일 10:00 ~ 23:00|02-939-0700
커피블러썸|서울 노원구 노원로34길 62|매일 09:00 ~ 23:00|02-930-5222
빽다방 중계브라운스톤점|서울 노원구 동일로203가길 29 176호|매일 08:00 ~ 22:00|02-971-5121
코르키|서울 노원구 중계로 170||
컴포즈커피 공릉경춘선숲길점|서울 노원구 동일로192길 74 지하2층 103호|매일 08:00 ~ 22:30|02-976-1874
메가MGC커피 서울여대점|서울 노원구 화랑로51길 20 진성빌딩 1층 103호|매일 08:40 ~ 22:40|02-975-1009
빽다방 상계역점|서울 노원구 덕릉로83길 5 1층 105호|매일 09:00 ~ 21:00|02-2088-5805
오블루|서울 노원구 초안산로2길 110 1층|월~금 08:00 ~ 19:00|02-6015-2205
범퍼커피 마들점|서울 노원구 동일로 1602 1층|매일 09:00 ~ 21:00|02-933-2050
빽다방 공릉역점|서울 노원구 동일로 1066 1층|월~금 08:00 ~ 22:00|02-975-5550
카페다온|서울 노원구 공릉로65길 20 1층||070-7722-1954
컴포즈커피 노원공릉점|서울 노원구 동일로197길 21 1층|월~금 07:00 ~ 22:30|02-2088-4780
메가MGC커피 화랑대역점|서울 노원구 노원로1길 9 103호|매일 09:00 ~ 21:30|02-949-4002
요거트월드 노원점|서울 노원구 상계로23다길 45 지브로 1층 101호|월~금 13:00 ~ 01:00|070-8691-3818
컴포즈커피 마들로또명당점|서울 노원구 동일로 1493|매일 10:00 ~ 21:00|02-3391-2819
메가MGC커피 공릉중앙점|서울 노원구 공릉로 137 1층||02-976-9995
빽다방 광운대점|서울 노원구 광운로 43 로얄포토빌딩 1층|월~금 08:30 ~ 22:00|070-7752-5322
룸메이트 노원점|서울 노원구 상계로 75 노원빌딩 3층||
