카페명|주소|영업시간|전화번호
파크더블유|서울 중랑구 양원역로16길 103-111|매일 11:00 ~ 22:00|02-432-5659
카페브릭|서울 중랑구 신내역로1길 127-11|매일 09:00 ~ 23:00|
커피스터프|서울 중랑구 망우로42길 10|매일 10:00 ~ 22:00|
개인공간|서울 중랑구 송림길 12 1층|매일 12:00 ~ 22:00|070-7718-0087
다시사랑받개|서울 중랑구 용마산로139나길 83|수~일 13:00 ~ 20:00|02-6958-6224
카페252|서울 중랑구 망우로 252 1층|매일 09:00 ~ 23:00|02-493-8286
스토어드커피|서울 중랑구 동일로157길 22 1층|월~금 09:00 ~ 22:00|070-8823-7669
스타벅스 상봉역점|서울 중랑구 망우로 307|월~금 07:00 ~ 22:00|1522-3232
스타벅스 사가정역점|서울 중랑구 면목로 310|월~금 07:00 ~ 22:00|1522-3232
빈스로드 본사|서울 중랑구 봉화산로 111|월,수,목,금,일 11:00 ~ 21:00|070-7593-7005
라떼플로라|서울 중랑구 동일로156길 7 103호|매일 09:00 ~ 22:00|02-432-9503
상봉커피|서울 중랑구 봉우재로 96|수~일 12:00 ~ 22:00|
스타벅스 상봉점|서울 중랑구 상봉로 131 상봉듀오트리스주상복합|월~금 07:00 ~ 22:00|1522-3232
로기스커피|서울 중랑구 겸재로 172-1 1층|영업시간 목 08:30 ~ 17:00|070-8621-8791
모이카페|서울 중랑구 용마산로125길 108-17|매일 10:00 ~ 22:00|070-4230-0404
디저트아카데미|서울 중랑구 망우로36길 38 102호|화~금 10:00 ~ 22:00|02-433-6096
카페소고 망우점|서울 중랑구 신내로1길 15|월,화,목,금,토,일 12:00 ~ 22:00|02-6014-6912
북카페공간 중화점|서울 중랑구 동일로 795 지하1층|매일 10:00 ~ 23:00|02-2207-3970
설빙 상봉점|서울 중랑구 망우로 204 2층|매일 11:00 ~ 23:00|02-6380-0707
티하우스나니|서울 중랑구 용마산로117길 26 로뎀하이빌 1층 102호|목요일|02-433-2726
스타벅스 중랑역점|서울 중랑구 망우로30길 3|월~금 07:00 ~ 22:00|1522-3232
스타벅스 중랑구청점|서울 중랑구 신내로 72|월~금 07:00 ~ 21:00|1522-3232
제이식스 1호점|서울 중랑구 면목로 487|월~금 08:00 ~ 01:00|02-434-7387
투썸플레이스 망우점|서울 중랑구 망우로 403 삼부빌딩 1층|매일 07:30 ~ 23:00|02-6954-2588
어느날오늘|서울 중랑구 봉화산로30길 98 삼성팰리스 1층 102호|화~일 11:00 ~ 21:00|
스타벅스 묵동점|서울 중랑구 동일로 952 로프트원오피스텔 1층|월~토 07:00 ~ 22:00|1522-3232
스타벅스 중화역점|서울 중랑구 봉화산로 35 1,2층|월~금 07:00 ~ 21:00|1522-3232
투썸플레이스 사가정역점|서울 중랑구 면목로 301 1층|매일 09:00 ~ 22:00|02-433-4024
데일리파크|서울 중랑구 신내로15길 196|월~금 09:00 ~ 22:00|02-3422-0146
투썸플레이스 묵동자이점|서울 중랑구 동일로 932 1층 108,109호|매일 08:30 ~ 24:00|02-949-1222
투썸플레이스 망우역사거리점|서울 중랑구 상봉로 134 삼부오피스텔 102~104호|월~금 07:00 ~ 23:00|02-362-2388
스타벅스 양원역점|서울 중랑구 양원역로10길 3|매일 07:30 ~ 21:00|1522-3232
문릿|서울 중랑구 봉우재로43길 35 1층|월~토 11:00 ~ 22:00|
투썸플레이스 신내점|서울 중랑구 용마산로 637 1,2층|매일 08:00 ~ 22:30|02-2088-0858
커피빈 상봉역점|서울 중랑구 망우로 291 1층|월~금 07:00 ~ 22:00|02-493-8902
시즌|서울 중랑구 사가정로49길 62 1층|매일 11:00 ~ 22:00|
설빙 서울망우점|서울 중랑구 망우로 439 연운빌딩 2층|매일 12:00 ~ 23:40|02-434-0107
소년커피|서울 중랑구 면목로92길 7 1층|월~금 07:30 ~ 19:00|010-9342-0085
온앤인커피|서울 중랑구 사가정로43길 6 청운명가 101호|월,화,수,목,토,일 10:00 ~ 18:00|02-222-2222
투썸플레이스 중랑역점|서울 중랑구 망우로 202 2층|매일 09:00 ~ 22:50|
투썸플레이스 서일대점|서울 중랑구 용마산로 384 이안애B동 1층 101호|매일 09:00 ~ 22:00|02-2208-1030
이노이드 커피랩|서울 중랑구 용마산로86길 9-38 그린빌딩 1층,2층|매일 09:00 ~ 23:00|070-7808-0085
베어글|서울 중랑구 망우로 400 헤븐타워 1층 101,102호|매일 08:00 ~ 24:00|02-491-7428
카페제이식스 상봉2호점|서울 중랑구 망우로 283 1,2층|월~금 08:00 ~ 24:00|
메가MGC커피 상봉역점|서울 중랑구 망우로 304-1 1층|매일 08:00 ~ 22:00|02-435-5536
내친구고양이카페|서울 중랑구 면목로 306 3층|월~금 17:00 ~ 22:00|02-2209-7446
독블레스유|서울 중랑구 봉화산로56길 46 2층|화~금 10:00 ~ 20:30|010-5004-4220
단조|서울 중랑구 중랑천로10길 68 보은빌딩 3층|수~금 12:00 ~ 21:00|010-9457-8246
탐앤탐스 사가정역점|서울 중랑구 면목로45길 3-10|매일 09:00 ~ 01:30|02-493-6232
제주역|서울 중랑구 상봉중앙로5다길 49 201호|월~토 12:00 ~ 21:00|0507-1349-9926
메가MGC커피 망우역점|서울 중랑구 망우로 385 1층|매일 08:00 ~ 22:00|02-491-0336
메가MGC커피 중화역점|서울 중랑구 동일로 806 1층|월~금 08:00 ~ 22:30|02-433-5138
뜰|서울 중랑구 용마산로139나길 111||02-435-3737
메가MGC커피 면목중앙점|서울 중랑구 동일로 612 1층|월~금 07:30 ~ 21:00|02-2207-7858
디저트39 상봉점|서울 중랑구 망우로 353 상봉프레미어스엠코 C동 1층 109호|월~토 08:00 ~ 21:00|02-6053-3939
메가MGC커피 중랑역점|서울 중랑구 망우로 203 1층 125호||02-433-8007
카페만복|서울 중랑구 봉우재로33길 50 2층|화~일 11:00 ~ 22:00|02-2208-5424
이디야커피 중랑교차로점|서울 중랑구 동일로 683 1층|월,화,수,목,금,일 09:00 ~ 22:50|070-8819-6000
허밍버드|서울 중랑구 상봉중앙로1가길 1-10 1층|화~토 09:00 ~ 23:00|0507-1355-3157
메가MGC커피 서일대점|서울 중랑구 용마산로 408 1층|월~금 08:00 ~ 22:00|02-434-9263
설빙 묵동점|서울 중랑구 중랑역로 242 2층|매일 11:00 ~ 23:00|02-949-7767
디저트39 묵동 자이점|서울 중랑구 동일로 932 아파트 201동 101호|월~금 09:00 ~ 22:00|02-976-1090
똥강아지카페|서울 중랑구 용마산로 248 6층 601호|화~금 12:00 ~ 20:00|02-435-0722
포즈|서울 중랑구 동일로 951 1,2층|매일 10:30 ~ 21:00|02-971-6605
이디야커피 동원사거리점|서울 중랑구 겸재로 240 102호|매일 09:00 ~ 22:00|02-432-6717
프릇탑|서울 중랑구 신내로16길 76 1층 103,104호|화~금 10:00 ~ 22:00|02-3421-0908
메가MGC커피 먹골역점|서울 중랑구 동일로 932 묵동자이2단지상가 1층 2-107호||02-976-6849
메가MGC커피 중랑망우점|서울 중랑구 양원역로 22-1 동원빌딩 1층||02-434-4340
카페메이|서울 중랑구 동일로 833-8|매일 10:00 ~ 23:00|070-4179-3661
이디야커피 상봉중앙점|서울 중랑구 망우로 316 103호|월~금 07:30 ~ 24:00|02-433-9026
고래당|서울 중랑구 면목로49길 70 1층|영업시간 월,화,수,목,금,일 11:00 ~ 17:00|
메가MGC커피 면목면동초점|서울 중랑구 면목로 356 1층|매일 10:30 ~ 22:00|02-491-5060
탐앤탐스 중랑구청점|서울 중랑구 신내로14길 10 1층|월~금 09:00 ~ 01:00|02-3421-0726
망우카페|서울 중랑구 망우로91길 2|영업시간 매일 09:00 ~ 17:00|
어피펄 (APEOPER)|서울 중랑구 상봉중앙로1다길 51 1층 101호|화~일 11:30 ~ 21:00|0507-1364-1326
컴포즈커피 중랑면목역점|서울 중랑구 겸재로 185|월~금 08:00 ~ 21:30|02-433-9644
메가MGC커피 사가정역점|서울 중랑구 면목로 316 1층||02-2209-3737
카페 솔솔|서울 중랑구 봉화산로56길 20 1층|월~금 08:00 ~ 20:00|070-4212-1900
메가MGC커피 면목역점|서울 중랑구 면목로 418 1층|매일 10:00 ~ 23:00|02-433-1222
이디야커피 중랑역점|서울 중랑구 망우로 198 1층|매일 08:00 ~ 23:50|02-2209-3725
코끼리카페|서울 중랑구 봉우재로33길 25 1층|월~금 07:30 ~ 23:00|
메가MGC커피 양원지구점|서울 중랑구 봉화산로 301 힐데스 상가 511동 1층 108, 109호|매일 07:30 ~ 23:00|02-2207-7771
프루데이|서울 중랑구 겸재로 73 1층 101호|화~일 11:00 ~ 21:00|010-5681-8990
이디야커피 상봉역점|서울 중랑구 망우로 277 1층|매일 09:00 ~ 22:00|02-439-4839
투썸플레이스 용마산역점|서울 중랑구 면목로 249 1,2층|매일 08:00 ~ 22:00|02-491-0701
커피볶는꾼|서울 중랑구 면목로 305 성일빌딩 1층 3호|월~금 08:00 ~ 22:00|010-3112-2512
할리스 망우점|서울 중랑구 망우로 470|매일 08:00 ~ 22:00|070-7707-0042
더벤티 면목역점|서울 중랑구 겸재로 190-1 1,2층|월~금 08:00 ~ 22:00|02-435-3967
달꿈남매|서울 중랑구 겸재로 164 1층|월~금 10:00 ~ 22:30|02-6925-1114
젠네트|서울 중랑구 동일로96길 19 한울퍼스트빌 1층 102호|매일 10:30 ~ 24:00|
메가MGC커피 우림시장점|서울 중랑구 용마산로 498 1층|매일 08:00 ~ 22:00|02-436-0022
웨일스독|서울 중랑구 망우로 378-2 1, 2층, 옥상|매일 09:00 ~ 21:00|010-3942-6833
리프패럿 중랑구청점|서울 중랑구 신내로 66 2층|월,수,목,금,토,일 11:00 ~ 20:00|010-7407-0199
메가MGC커피 봉화산역점|서울 중랑구 신내로 225 디아뜨갤러리 1층 146,147호||02-3422-0005
이디야커피 사가정역점|서울 중랑구 면목로 325 1층|매일 08:00 ~ 23:40|02-493-1990
투썸플레이스 신내SKV1센터점|서울 중랑구 신내역로 111|월~금 08:00 ~ 22:00|
대단한탕후루 상봉점|서울 중랑구 망우로 353 1층|매일 12:00 ~ 22:00|
커피대마왕|서울 중랑구 면목로92길 28 1층|월~금 09:00 ~ 19:00|02-2207-5415
메가MGC커피 면목동점|서울 중랑구 용마산로 337 1층||02-434-0111
오프아이디어|서울 중랑구 면목로45길 6 1,2층|매일 10:00 ~ 02:00|02-491-7711
메가MGC커피 동부시장점|서울 중랑구 봉우재로 41 1층||02-436-0333
컴포즈커피 중랑중화점|서울 중랑구 중랑역로 66|매일 08:30 ~ 22:30|02-435-4836
메가MGC커피 중랑묵동점|서울 중랑구 공릉로 70 1층|월~금 08:00 ~ 22:00|02-6014-0925
컴포즈커피 중화장미점|서울 중랑구 동일로139길 6|매일 08:45 ~ 21:30|
도즈커피|서울 중랑구 겸재로 105||
컴포즈커피 중랑망우점|서울 중랑구 망우로 353 프레미어스엠코아파트 상가 1층 C104호||070-7778-9332
템포커피 묵동점|서울 중랑구 동일로 932 1층 2-105,106호|매일 08:30 ~ 24:00|
이디야커피 서일중앙점|서울 중랑구 용마산로 394 1층 1호|월~금 08:00 ~ 22:00|02-493-7835
컴포즈커피 상봉역점|서울 중랑구 면목로 478-1||
지하실B1|서울 중랑구 사가정로45길 18|화~일 11:30 ~ 22:00|
빽다방 망우역사거리점|서울 중랑구 용마산로115길 127 S1110호|매일 08:00 ~ 21:00|02-433-8825
