카페명|주소|영업시간|전화번호
스윗솔트|서울 강동구 상암로 286|매일 09:00 ~ 22:00|02-3427-0999
브랜뉴하이몬드|서울 강동구 천호옛14길 11 1,2층|매일 09:00 ~ 23:00|02-478-2402
미드데이썬|서울 강동구 양재대로91나길 55 1층 101호|화~금 12:00 ~ 22:00|0507-136-9308
채스우드커피|서울 강동구 성안로 42 1층|매일 10:00 ~ 22:00|02-470-4562
테라로사 길동점|서울 강동구 천호대로 1221 SK라이프스타일 스테이션 1,2층|매일 09:00 ~ 21:00|033-648-2760
파트원나이스|서울 강동구 올림픽로89길 29|화~토 12:00 ~ 22:00|
디자인카페허브|서울 강동구 천호대로200길 15-16|화~토 10:00 ~ 22:00|02-417-0437
펠어커피 강동점|서울 강동구 천호옛14길 23-12 1층|수~일 10:00 ~ 23:50|070-8983-9623
카페노란코끼리 천호점|서울 강동구 구천면로24길 20-25|월~금 08:00 ~ 22:00|
브리에|서울 강동구 강동대로51길 50 1층|화~금 10:00 ~ 19:00|0507-1336-7304
카페제이|서울 강동구 동남로82길 19 1층|월~토 11:00 ~ 21:00|070-8270-9370
스타벅스 천호로데오점|서울 강동구 천호대로 1037|매일 08:00 ~ 21:00|1522-3232
카페공공장소|서울 강동구 암사길 7-1 암사동빌딩 1층 101호|화~일 12:00 ~ 21:30|0507-1314-6627
스타벅스 천호역점|서울 강동구 천호대로 1012 태승빌딩 1층|월~토 07:00 ~ 21:00|1522-3232
스타벅스 강동암사DT점|서울 강동구 고덕로 43|매일 07:00 ~ 22:00|1522-3232
수요일|서울 강동구 동남로 891 현대델리안 202호|매일 10:00 ~ 22:00|02-3427-6467
벌스커피|서울 강동구 성내로5길 34 1층|월~금 08:00 ~ 22:00|02-6084-3317
성내동커피집 온온|서울 강동구 성내로18길 34 1층 103호|월~금 08:30 ~ 18:00|
카페씨모|서울 강동구 고덕로38길 69|매일 11:00 ~ 22:00|010-4241-9957
스타벅스 강동구청DT점|서울 강동구 성내로 32|월~토 07:00 ~ 22:00|1522-3232
피에로커피|서울 강동구 성내로14길 27|월~금 08:00 ~ 21:30|02-471-5618
헤르츠로그|서울 강동구 천호옛길 57 연재빌딩 1층 101호|매일 12:00 ~ 21:00|
스타벅스 둔촌동점|서울 강동구 양재대로 1303 평원빌딩 1층|월~금 07:00 ~ 21:00|1522-3232
잇다|서울 강동구 천호대로 1156-5 1층 101호|매일 10:00 ~ 22:00|010-7497-1871
스타벅스 강동역점|서울 강동구 천호대로 1089|월~금 07:00 ~ 22:00|1522-3232
우드멜로우|서울 강동구 아리수로 243|매일 09:30 ~ 22:00|02-3427-2235
솔리|서울 강동구 진황도로 4-5 1~3층|월~금 14:00 ~ 24:00|02-471-6091
카페온도|서울 강동구 양재대로103길 40 성안빌딩 101호|월~토 12:30 ~ 23:00|070-8822-9561
아이스베리 천호점|서울 강동구 천호대로157길 17 2층|매일 12:00 ~ 24:00|
엘리펀트커피 둔촌점|서울 강동구 천호대로 1192|월~토 10:00 ~ 23:00|02-488-2039
스타벅스 길동역점|서울 강동구 양재대로 1487|월~토 07:00 ~ 22:00|1522-3232
브로일링커피 강동점|서울 강동구 성내로10길 9-6|월~목 09:00 ~ 21:00|
카페티에드|서울 강동구 천호대로157길 52 2,3층|매일 11:30 ~ 24:00|02-475-0011
스타벅스 강일역점|서울 강동구 고덕로 429 1층|매일 07:30 ~ 21:00|1522-3232
스타벅스 천호이마트점|서울 강동구 천호대로 1015-14 이마트별관|매일 07:00 ~ 21:30|1522-3232
투썸플레이스 강동역점|서울 강동구 천호대로 1077 이스트센트럴타워 1층|월~금 07:00 ~ 21:00|02-6377-8333
담금|서울 강동구 성내로18길 37 1층|월,수,목,금,토,일 10:00 ~ 22:00|
스타벅스 상일동점|서울 강동구 상일로10길 36 1,2층|매일 07:00 ~ 21:00|1522-3232
스타벅스 명일역점|서울 강동구 양재대로 1647|목~토 07:00 ~ 22:00|1522-3232
포포앤미루|서울 강동구 양재대로89가길 30 키키빌딩 3층|월,목,금 13:00 ~ 21:00|0507-1329-7176
스타벅스 명일이마트점|서울 강동구 동남로75길 5 별관 주차장|매일 07:00 ~ 21:30|1522-3232
스타벅스 올림픽공원북2문점|서울 강동구 강동대로 199|매일 07:00 ~ 21:00|1522-3232
스타벅스 천호대로길동점|서울 강동구 천호대로 1131 거산유팰리스|월~목 07:00 ~ 21:00|1522-3232
바하마스|서울 강동구 진황도로 123 상가 1층 108호|화~일 11:00 ~ 21:00|
투썸플레이스 천호로데오점|서울 강동구 천호대로157길 19 2층|월~목 09:00 ~ 22:30|02-470-8717
까페항상|서울 강동구 성내로3길 5 1층|월~금 08:00 ~ 18:00|
와|서울 강동구 양재대로81길 61|화~토 10:00 ~ 22:00|010-9233-9129
폴바셋 상일동점|서울 강동구 상일로6길 21 한국종합기술사옥 1층|월~금 07:30 ~ 20:00|02-481-8910
카페르브니|서울 강동구 양재대로 1419 SM엘루이 1층 102,103호|월,수,목,금 09:30 ~ 21:00|0507-1366-2242
할리스 굽은다리역점|서울 강동구 양재대로 1591 1층|매일 00:00 ~ 24:00|02-488-5077
스타벅스 굽은다리역점|서울 강동구 양재대로 1568|월~목 07:00 ~ 21:00|1522-3232
카페아셀|서울 강동구 강동대로53길 35 1층||
투썸플레이스 고덕점|서울 강동구 동남로71길 14 한양빌딩 1층|매일 08:00 ~ 22:30|02-6953-0068
투썸플레이스 길동점|서울 강동구 천호대로 1207|매일 09:00 ~ 21:30|02-479-2019
투썸플레이스 굽은다리역점|서울 강동구 양재대로 1539|매일 09:00 ~ 23:30|02-442-0130
봉연커피|서울 강동구 양재대로85길 78|매일 10:00 ~ 22:00|02-6053-7588
