카페명|주소|영업시간|전화번호
라라브레드 송파점|서울 송파구 오금로16길 4 지하1층, 1,2층|매일 10:00 ~ 21:00|
뉴질랜드스토리|서울 송파구 석촌호수로 268 경남레이크파크 1층|영업시간 월,수,목,금 10:30 ~ 17:00|070-7523-6265
뷰클런즈|서울 송파구 백제고분로43길 10 1층|매일 12:00 ~ 22:00|070-4065-4860
커피바이 로스터스|서울 송파구 백제고분로17길 56 2층|매일 10:00 ~ 21:00|02-415-4153
앙떼띠 잠실점|서울 송파구 올림픽로 342 아울타워 1,2층|매일 10:30 ~ 21:00|02-420-7410
디트로네 잠실점|서울 송파구 석촌호수로 258 아르누보팰리스 1층 105호|월,화,수,목,일 11:00 ~ 24:00|02-422-5021
프로퍼커피바|서울 송파구 위례성대로22길 6 유진빌딩 1층|월~토 10:00 ~ 22:00|02-3401-0703
젠젠 잠실점|서울 송파구 백제고분로45길 34 동방빌딩 2층|매일 09:30 ~ 22:20|02-412-7240
카페이클립스|서울 송파구 송파대로49길 52 나인파크A 201호|화,수,목,일 12:00 ~ 23:00|010-7147-0401
홍팥집 오금점|서울 송파구 성내천로 77 1층|매일 11:00 ~ 22:00|02-430-6577
코히루|서울 송파구 오금로 148 2층 202호|매일 11:00 ~ 22:00|070-8834-5252
팻어케이크|서울 송파구 백제고분로45길 9 2층|매일 12:00 ~ 21:00|
에브리데이몬데이|서울 송파구 송파대로48길 14|목~토 12:00 ~ 24:00|010-4393-0622
위커파크|서울 송파구 석촌호수로 298 잠실대우레이크월드 103-1호|매일 10:00 ~ 22:00|010-2942-0447
터치183|서울 송파구 위례성대로 126|월,수,목,금 09:00 ~ 19:30|0507-1409-1500
잉클링|서울 송파구 양재대로60길 3-5 보우빌딩 1층|화~토 10:00 ~ 22:00|02-565-5194
디저티스트|서울 송파구 송파대로48길 37 호수임광아파트상가 2층|매일 12:00 ~ 21:30|
호이안로스터리 1호점|서울 송파구 법원로 128 SKV1 GL빌딩 B동 115호|월~금 11:00 ~ 21:50|02-527-8929
얼터너티브|서울 송파구 백제고분로46길 26-1 신화빌딩 1층|화~일 11:00 ~ 22:00|02-425-0120
앤티크커피 잠실점|서울 송파구 백제고분로41길 21-16 1층|매일 11:00 ~ 22:00|
오린지|서울 송파구 송파대로48길 19 1층|월~토 12:00 ~ 22:00|
진저베어|서울 송파구 백제고분로41길 43-7 1층|매일 12:00 ~ 21:00|
리프레쉬커피|서울 송파구 중대로 298 금웅빌딩 1층|매일 09:00 ~ 22:00|02-400-0910
카페로드 방이점|서울 송파구 위례성대로16길 14 1층 2호|매일 10:00 ~ 24:00|010-8426-7970
디어블라썸커피|서울 송파구 올림픽로12길 23 1층|매일 12:00 ~ 22:00|02-6014-4619
스타벅스 석촌호수점|서울 송파구 석촌호수로 262 1~3층|매일 08:00 ~ 22:00|1522-3232
블랙드롭커피 석촌호수점|서울 송파구 삼학사로 90 1층|월~금 09:00 ~ 23:00|02-420-8397
카페드로잉|서울 송파구 송파대로 111 파크하비오 202동 1층 166~170호|매일 09:30 ~ 23:30|
카페그리너티|서울 송파구 풍성로23길 17 1층|화~일 08:00 ~ 19:00|010-2992-1691
스타벅스 잠실새내역점|서울 송파구 올림픽로 96 1층|매일 07:00 ~ 22:00|1522-3232
비엔나커피하우스 잠실역점|서울 송파구 올림픽로 293-19 현대타워아파트 1층 101, 101-1,101-3호|수~금 08:00 ~ 22:00|02-425-1683
스타벅스 잠실역점|서울 송파구 송파대로 562 웰리스타워 1,2층|월~토 07:00 ~ 22:00|1522-3232
페이지|서울 송파구 동남로4길 35 자양빌딩 1층 101호|매일 10:00 ~ 22:00|02-402-3702
스타벅스 송파나루역DT점|서울 송파구 오금로 142|매일 07:00 ~ 22:00|1522-3232
엔제리너스 석촌호수DI점|서울 송파구 석촌호수로 224 1층|매일 08:00 ~ 02:00|02-3431-7590
