카페명|주소|영업시간|전화번호
노티드 청담|서울 강남구 도산대로53길 15 1층|매일 09:00 ~ 21:00|1800-6067
알베르|서울 강남구 강남대로102길 34|매일 10:00 ~ 23:00|02-566-6181
꽁티드툴레아 도산점|서울 강남구 도산대로49길 39 1층|월~토 11:00 ~ 24:00|
블루보틀 역삼 카페|서울 강남구 테헤란로 129 강남N타워 1층|매일 08:00 ~ 20:30|1533-6906
마일스톤커피|서울 강남구 논현로159길 49 1층|매일 10:00 ~ 21:00|070-4219-1195
테라로사 포스코센터점|서울 강남구 테헤란로 440 포스코센터 1,2층|월~금 07:30 ~ 21:00|033-648-2760
썸띵어바웃커피|서울 강남구 강남대로102길 30 1~3층|매일 11:00 ~ 23:00|
카페413프로젝트|서울 강남구 논현로97길 19-11|화~일 10:30 ~ 21:00|070-7798-0544
카페캠프통|서울 강남구 압구정로42길 27|매일 11:30 ~ 19:00|02-3445-0369
블루보틀 압구정 카페|서울 강남구 논현로 854 안다즈호텔 101호|매일 08:00 ~ 20:30|1533-6906
C27 가로수길본점|서울 강남구 도산대로15길 39|매일 10:00 ~ 21:00|02-544-1527
정월|서울 강남구 강남대로102길 46 1층|매일 11:00 ~ 22:00|02-6013-0926
도산맘마|서울 강남구 압구정로42길 45|매일 10:00 ~ 23:00|02-511-0620
디올카페|서울 강남구 압구정로 464 하우스 오브 디올 5층|월~토 11:00 ~ 20:00|
기욤 청담점|서울 강남구 선릉로152길 17 1층 101호|월,화,수,목,일 10:00 ~ 24:00|02-512-6701
고센|서울 강남구 선릉로158길 18|월~토 11:00 ~ 05:00|02-515-1863
카페써드|서울 강남구 선릉로131길 11 1층|매일 08:00 ~ 23:00|070-7773-4559
가배도 신논현점|서울 강남구 강남대로110길 13 2,3층|매일 11:00 ~ 21:00|02-554-4542
테일러커피 신사점|서울 강남구 강남대로160길 31 1층|매일 10:00 ~ 22:00|02-511-0355
세시셀라 도산공원점|서울 강남구 도산대로45길 10-4 삼경빌딩 1층|매일 11:30 ~ 22:00|02-3448-7100
루프808|서울 강남구 강남대로 470 808타워 16층|월~목 18:00 ~ 24:00|02-3452-8088
10꼬르소꼬모카페|서울 강남구 압구정로 416 더트리니티빌딩 지하1층|월,화,수,목,일 11:00 ~ 23:00|
맷카페|서울 강남구 학동로50길 42 1층|매일 11:00 ~ 21:00|070-7599-2212
빌리엔젤 강남역점|서울 강남구 테헤란로1길 48 강남ELS빌딩 1층|매일 11:00 ~ 23:00|070-5051-8135
껠끄쇼즈|서울 강남구 도곡로70길 5|월,목,금,토,일 12:30 ~ 19:30|
미엘|서울 강남구 도산대로67길 13-12 퍼즐하우스 1층|매일 11:00 ~ 01:00|02-512-2395
까치화방 강남점|서울 강남구 봉은사로4길 23 1층|매일 11:30 ~ 22:00|02-558-5533
트리아농|서울 강남구 학동로59길 43|월~토 09:00 ~ 22:00|070-8129-5955
식물학|서울 강남구 강남대로154길 33 신사모던빌딩 1층 101호|매일 11:30 ~ 22:00|02-518-0701
버터풀&크리멀러스|서울 강남구 언주로172길 59 삼두빌딩 1층|화~일 11:00 ~ 19:00|02-518-2223
겟썸커피 다운스테어즈|서울 강남구 봉은사로6길 30 지하1층|화~일 11:00 ~ 22:00|070-4113-3619
평화다방 강남역점|서울 강남구 강남대로94길 10 K스퀘어 2층|매일 11:00 ~ 22:00|070-4801-1386
듀자미|서울 강남구 도산대로11길 28 1층|매일 12:00 ~ 21:30|02-3443-0030
크리에잇쿠키 역삼점|서울 강남구 테헤란로25길 36 2층|월~금 09:00 ~ 21:00|02-558-8890
이디야커피랩|서울 강남구 논현로 636 1,2층|매일 07:30 ~ 02:00|02-545-6467
스타벅스 강남R점|서울 강남구 강남대로 390 미진프라자 1층 101호|월~토 07:00 ~ 22:00|1522-3232
논탄토|서울 강남구 도산대로17길 35|매일 11:00 ~ 22:00|
쉼스토리|서울 강남구 역삼로3길 17 혜진빌딩 3층|월~금 10:00 ~ 22:30|070-7778-6441
소나|서울 강남구 강남대로162길 40 201호|월,수,목,금,토,일 12:30 ~ 22:00|02-515-3246
티하우스 청담|서울 강남구 삼성로120길 52-1 하랑빌딩 1층|월~토 11:00 ~ 22:00|010-2734-4109
모스가든|서울 강남구 논현로139길 12|월~토 10:00 ~ 22:30|02-546-8532
더달달|서울 강남구 강남대로102길 38-6 1층, 2층|월~토 10:30 ~ 24:00|02-562-3737
노티드 삼성|서울 강남구 테헤란로103길 9 제일빌딩 1층|매일 09:00 ~ 20:00|070-4143-9377
로브니|서울 강남구 선릉로85길 8 1층 101호|월~금 10:00 ~ 20:30|070-4122-1816
카페그라쎄|서울 강남구 도산대로17길 19 온암빌딩 1층|화~일 11:00 ~ 22:00|02-542-3446
펠트커피 도산공원점|서울 강남구 언주로164길 23|매일 11:00 ~ 20:00|070-7756-3145
누데이크 하우스도산|서울 강남구 압구정로46길 50 지하1층|매일 11:00 ~ 21:00|070-4128-2125
클라우즈비|서울 강남구 논현로28길 10 1층|영업시간 월~금 08:00 ~ 18:00|0507-1406-5405
커피루소 청담점|서울 강남구 선릉로158길 16 다현빌딩 1층|매일 10:00 ~ 21:00|02-545-9935
비트포비아 강남던전점|서울 강남구 강남대로84길 33 대우디오빌플러스 지하1층 111호|월~금 11:30 ~ 23:00|02-555-4360
쇼토|서울 강남구 압구정로18길 14-6 1층|수~토 12:00 ~ 21:00|
코드케이 강남점|서울 강남구 봉은사로2길 31 지하1층|매일 10:00 ~ 23:00|02-501-8245
팀홀튼 신논현역점|서울 강남구 강남대로 476 1층|월~금 07:00 ~ 22:00|
로얄마카롱|서울 강남구 테헤란로25길 26 3층|매일 11:00 ~ 21:00|070-4110-2000
키이스케이프 강남 더오름|서울 강남구 테헤란로6길 30 지하1층|월~금 10:00 ~ 23:30|010-3776-6082
파시0914|서울 강남구 도산대로45길 15 지하 1층|월~토 11:00 ~ 22:00|02-2056-0917
당옥|서울 강남구 강남대로162길 22 1층 101호|화~일 11:30 ~ 21:00|02-3443-1227
카페레이어스튜디오|서울 강남구 삼성로75길 40 1층|매일 08:00 ~ 22:00|02-555-6660
브라운핸즈 도곡점|서울 강남구 논현로26길 48 브라운핸즈도곡점|매일 09:00 ~ 23:00|02-572-0332
겟썸커피 신사점|서울 강남구 논현로159길 46-6 지하1층|화~일 11:00 ~ 21:00|070-4223-3619
커피라이터|서울 강남구 논현로161길 15 1층|매일 10:30 ~ 22:00|070-4141-3222
빌리엔젤 강남역5호점|서울 강남구 강남대로94길 10 1층|매일 11:00 ~ 22:00|070-4801-1385
스타벅스 청담스타R점|서울 강남구 도산대로57길 24|화~토 08:00 ~ 20:00|1522-3232
홍팥집 양재점|서울 강남구 남부순환로359길 31 1층|매일 11:00 ~ 21:00|02-572-6577
키이스케이프 강남점|서울 강남구 강남대로96길 17 6층||010-7456-6082
클로리스 역삼GFC점|서울 강남구 테헤란로 152 강남파이낸스센터 지하1층|월~금 08:30 ~ 22:00|02-553-7523
오더에스프레소|서울 강남구 봉은사로82길 27 아스텔빌딩 1층|월~금 08:30 ~ 22:00|
고양이라좋은날|서울 강남구 강남대로98길 28 5층|매일 12:00 ~ 22:00|02-556-3880
나따오비까 신사점|서울 강남구 압구정로2길 37 1층|월~토 10:00 ~ 23:00|02-518-8618
르사이트|서울 강남구 도산대로11길 22|매일 09:30 ~ 22:00|
카페키츠네 서울|서울 강남구 가로수길 23|매일 11:00 ~ 20:00|
브라운홀릭|서울 강남구 강남대로98길 25 1층|월~금 09:00 ~ 22:00|02-555-5978
후웨이즈텐카민|서울 강남구 선릉로107길 4|월~금 08:00 ~ 22:30|02-568-2227
마크레인커피|서울 강남구 선릉로157길 23-5 1층|월~금 10:00 ~ 21:00|02-516-5202
데쎄르룸|서울 강남구 봉은사로51길 13 1층|월~금 10:00 ~ 22:00|010-5005-6190
제이콥스라운지커피|서울 강남구 논현로 660 1층|월~토 08:00 ~ 22:00|02-514-8246
트리오드|서울 강남구 강남대로94길 28 유니언타운 L층|매일 11:00 ~ 22:00|02-568-9427
사푼사푼 서울 대치본점|서울 강남구 영동대로 416 KT&G타워 1층|월~금 07:00 ~ 21:00|02-3484-5408
스타벅스 수서역R점|서울 강남구 광평로 281 수서빌딩 1층|월~금 07:00 ~ 22:00|1522-3232
아우어베이커리 싸이더스점|서울 강남구 선릉로 629 싸이더스 hq타워 1층 101호|월~금 09:00 ~ 19:00|02-546-8481
비엔나커피하우스 압구정극동타워점|서울 강남구 압구정로 152|매일 08:00 ~ 22:00|02-548-1683
욕망의북카페|서울 강남구 강남대로102길 45 2,3층|매일 10:00 ~ 22:00|02-6956-0121
나띵베러|서울 강남구 학동로20길 68 리안팰리스||02-548-7017
정식카페|서울 강남구 선릉로158길 11 1층|월~토 10:00 ~ 01:00|02-517-4650
미뉴트빠삐용|서울 강남구 도산대로51길 37 지하1층|월,화,수,목,일 09:00 ~ 21:00|070-8888-0288
할리스 강남역점|서울 강남구 강남대로 402 시계탑빌딩 1층|월~목 07:30 ~ 24:00|02-555-0890
더스노우 논현점|서울 강남구 강남대로118길 40 1층 103호|매일 10:00 ~ 05:00|02-6032-8989
수목금토카페|서울 강남구 강남대로136길 63 1층|월~목 09:00 ~ 19:00|070-4226-7812
마이쏭|서울 강남구 도산대로45길 16-4 1층|매일 10:00 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00|02-518-0105
룸서비스301|서울 강남구 양재천로 193 3층 301호|화~일 12:00 ~ 21:00|
스타벅스 청담사거리점|서울 강남구 도산대로 458 리츠타워|월~토 07:00 ~ 21:00|1522-3232
모찌방|서울 강남구 삼성로75길 41 1층 101호|수~일 11:30 ~ 19:00|070-4007-6851
카페알케미|서울 강남구 양재대로53길 7 1,2층|월~금 12:00 ~ 22:00|070-7543-1385
압구정무니|서울 강남구 압구정로56길 16 1층|매일 10:00 ~ 22:00|010-9340-4466
스타벅스 신사역점|서울 강남구 도산대로 108 렉스타워 1층|월~금 07:00 ~ 22:30|1522-3232
투썸플레이스 강남대륭타워점|서울 강남구 강남대로 362 1층|매일 07:00 ~ 23:00|02-538-2369
데바스테이트 청담|서울 강남구 선릉로162길 51 1층|매일 10:00 ~ 19:00|070-7717-6100
카페파이브바|서울 강남구 언주로172길 65|월~금 08:00 ~ 02:00|
클로리스티룸 코엑스몰점|서울 강남구 영동대로 513 I109호|매일 10:00 ~ 22:00|02-558-7523
달마시안|서울 강남구 압구정로42길 42|매일 11:00 ~ 23:00|
스타벅스 스타필드코엑스몰 R점|서울 강남구 삼성동 159-9 코엑스 A106호|월~금 07:00 ~ 22:00|1522-3232
룸카페 바니|서울 강남구 강남대로96길 12 3층 301호|월~금 12:00 ~ 24:00|
프론트서울|서울 강남구 도산대로11길 29 1층|화,수,목,일 11:00 ~ 24:00|02-548-4981
넥스트에디션 강남5호점|서울 강남구 강남대로94길 11 지하1층|매일 10:30 ~ 24:00|0507-457-6277
502커피로스터스 역삼점|서울 강남구 테헤란로 142 아크플레이스 지하1층|월~금 07:30 ~ 19:30|02-556-0502
스타벅스 선릉역점|서울 강남구 테헤란로 334 교정공제회역삼빌딩 1층|월~금 07:00 ~ 21:00|1522-3232
블랙랩|서울 강남구 선릉로96길 5-16 지하1층|월~금 08:00 ~ 21:00|070-4858-3588
스타벅스 양재강남빌딩R점|서울 강남구 남부순환로 2621|월~토 07:00 ~ 22:00|1522-3232
쎄쎄종|서울 강남구 언주로146길 39|목~일 12:30 ~ 19:30|
에이비카페|서울 강남구 강남대로102길 32|월~금 09:00 ~ 23:00|02-566-2052
사주카페 재미난조각가 압구정로데오점|서울 강남구 선릉로155길 13-2|매일 13:00 ~ 21:00|
사주테라피|서울 강남구 봉은사로 326 남전빌딩 9층 913호|매일 10:00 ~ 21:00|070-7560-1087
카페시트롱|서울 강남구 논현로26길 56 1층|화~일 11:00 ~ 19:00|02-574-3998
퍼센트아라비카 1호점|서울 강남구 삼성동 159-9 스타필드코엑스몰 별마당도서관 1층|월~금 08:30 ~ 21:00|02-6002-5300
노크노크|서울 강남구 도곡로 521|월~금 10:00 ~ 21:00|02-555-8173
라브리크 서울|서울 강남구 봉은사로18길 66|매일 10:00 ~ 22:00|02-555-1215
스타벅스 압구정로데오역점|서울 강남구 선릉로 836 삼원빌딩 1,2층|월~토 07:00 ~ 22:00|1522-3232
포스톤즈 삼성본점|서울 강남구 테헤란로103길 5 1층|매일 08:00 ~ 21:00|02-568-7778
뮬리|서울 강남구 논현로93길 6 1층|월~금 08:00 ~ 22:00|02-538-0803
앙꼬|서울 강남구 학동로56길 32|월~토 08:00 ~ 22:30|02-512-9877
나따오비까 대치점|서울 강남구 선릉로64길 26 1층|화~토 10:00 ~ 22:30|02-558-8618
커피씨 COFFEE C|서울 강남구 언주로129길 17 1층|월~금 10:00 ~ 19:00|02-546-4044
스타벅스 강남대로점|서울 강남구 강남대로 456 한석타워 2층 1-2호|월~토 08:00 ~ 22:00|1522-3232
스타벅스 선릉세화빌딩점|서울 강남구 테헤란로64길 18 세화빌딩 1층|월~금 07:00 ~ 22:00|1522-3232
경성미술관|서울 강남구 도산대로15길 32 지하1층|월~금 13:00 ~ 22:00|070-7543-7976
노티드 압구정 갤러리아|서울 강남구 압구정로 343 지하1층|월~목 10:30 ~ 20:00|1800-6067
스타벅스 선릉동신빌딩R점|서울 강남구 테헤란로 409 동신빌딩 1층|월~금 07:00 ~ 22:00|1522-3232
비비브라운|서울 강남구 도산대로 412 남강빌딩 1층|매일 00:00 ~ 24:00|02-545-5707
플라워베이커리 가로수길점|서울 강남구 압구정로2길 45 1층|매일 09:00 ~ 22:00|02-515-1345
누데이크 신사|서울 강남구 강남대로162길 43 Le82빌딩 1,2층|매일 11:00 ~ 21:00|070-4177-6977
윗유랜드|서울 강남구 선릉로133길 17 1층 윗유랜드||070-4027-1144
스크렘|서울 강남구 봉은사로4길 17|월~토 12:00 ~ 22:00|
엑스케이프 강남점|서울 강남구 봉은사로2길 16|월~금 11:00 ~ 24:00|02-555-9366
인더무드|서울 강남구 일원로5길 10 1층|화~일 11:00 ~ 21:00|
소과당|서울 강남구 강남대로96길 12 A동 2층|화~일 11:00 ~ 22:00|02-538-8188
플레어비 도곡본점|서울 강남구 논현로26길 33 1층|월~금 09:30 ~ 20:00|02-578-3300
두레브|서울 강남구 헌릉로569길 23 유찬빌딩 1층|매일 08:00 ~ 23:00|02-451-1411
스타벅스 강남우성점|서울 강남구 강남대로 328 강남역쉐르빌|월~금 07:00 ~ 22:00|1522-3232
스타벅스 청담점|서울 강남구 도산대로 532 인희빌딩 1층|월~금 07:00 ~ 21:00|1522-3232
피그인더가든 코엑스점|서울 강남구 테헤란로87길 22 1층|매일 10:00 ~ 20:30|02-568-5990
리사르커피로스터스|서울 강남구 도산대로99길 60 1층|월~토 10:00 ~ 18:30|
스타벅스 강남비젼타워점|서울 강남구 테헤란로2길 27 패스트파이브빌딩 1층|월~금 07:00 ~ 22:00|1522-3232
프레스카29|서울 강남구 논현로28길 29|월~금 08:30 ~ 19:00|02-575-2558
마스터키 강남점|서울 강남구 봉은사로6길 26 지하1층||02-558-6685
더체어|서울 강남구 논현로26길 30-6|매일 09:00 ~ 22:30|02-576-2286
구테로이테|서울 강남구 선릉로131길 16 1층||02-528-1117
휴가|서울 강남구 논현로119길 16|매일 09:00 ~ 21:30|02-3444-2022
스타벅스 학여울역점|서울 강남구 영동대로 215|월~금 07:00 ~ 21:00|1522-3232
그레이스케일커피|서울 강남구 강남대로102길 38|월~토 11:00 ~ 23:00|02-565-1611
커피빈 강남역먹자골목점|서울 강남구 테헤란로1길 29 1~3층|월~목 07:30 ~ 23:00|02-552-6311
에그서울|서울 강남구 학동로55길 22 1층|화~일 11:00 ~ 19:00|02-540-3951
홍팥집 세곡동점|서울 강남구 헌릉로570길 34 리엔파크프라자 101~103호|매일 11:00 ~ 21:00|02-561-6577
코드이스케이프 가로수길점|서울 강남구 가로수길 14 5층|매일 10:30 ~ 24:00|02-541-7544
투썸플레이스 강남역중앙점|서울 강남구 테헤란로1길 16 삼원빌딩 2층|매일 11:00 ~ 21:00|02-558-1125
네버랜드|서울 강남구 봉은사로7길 32 1층|매일 00:00 ~ 24:00|02-547-7731
카페마당|서울 강남구 도산대로45길 7 메종에르메스 지하 1층|월~금 11:00 ~ 19:00|02-546-3643
스타벅스 압구정|서울 강남구 압구정로30길 17|월~금 07:00 ~ 22:30|1522-3232
커피휘엘|서울 강남구 논현로149길 62 1층|월~금 08:30 ~ 21:00|02-6215-8138
북카페레벤|서울 강남구 학동로 116 1층|월~토 09:30 ~ 19:00|02-2278-6607
아임뮤트|서울 강남구 논현로157길 36 1층|매일 12:00 ~ 22:00|
어퍼앤언더|서울 강남구 강남대로102길 28 1, 2, 지하 1층|매일 11:00 ~ 22:00|
봉브라더스 강아지카페|서울 강남구 강남대로118길 39 2층|매일 12:00 ~ 21:50|02-548-0888
스타벅스 강남구청역점|서울 강남구 선릉로 669 웰빙센터 1층|월~금 07:00 ~ 22:00|1522-3232
