카페명|주소|영업시간|전화번호
프릳츠 양재점|서울 서초구 강남대로37길 24-11 서림빌딩 1층|월~금 08:00 ~ 20:30|02-521-4148
공미학 서초교대점|서울 서초구 서초대로48길 101 1층|월~금 08:00 ~ 22:00|02-6462-9000
태양커피 방배점|서울 서초구 서초대로25길 55 1층|매일 10:00 ~ 19:30|02-534-8180
캐틀앤비 양재천점|서울 서초구 양재천로 131|매일 09:00 ~ 23:00|02-578-2737
장꼬방|서울 서초구 강남대로61길 27 1층|매일 09:00 ~ 22:00|02-597-5511
카페토다|서울 서초구 성촌6길 39|월~금 07:30 ~ 20:00|02-529-5401
카몽|서울 서초구 서초대로42길 17 1층|월~금 08:30 ~ 22:00|
타르타르 강남역점|서울 서초구 강남대로61길 13 1층|매일 11:00 ~ 23:00|010-9497-2922
테라로사커피 예술의전당점|서울 서초구 남부순환로 2406 비타민스테이션 지하1층|매일 08:30 ~ 21:00|1668-2764
쿠오레|서울 서초구 강남대로 275 1층 101호|월~금 08:00 ~ 21:50|070-7750-9230
프리퍼커피로스터스|서울 서초구 반포대로5길 4 1층|월~금 08:00 ~ 21:00|
로우어가든|서울 서초구 사평대로57길 28 1층|화~토 12:00 ~ 22:00|010-7941-7919
미스터힐링 교대역점|서울 서초구 서초중앙로 111 지하1층 B01호|매일 10:00 ~ 23:00|02-582-2220
마얘|서울 서초구 사평대로22길 14 1층|매일 11:30 ~ 22:00|
스타벅스 파미에파크R점|서울 서초구 사평대로 205 센트럴시티 파미에파크돔|월~토 07:00 ~ 21:00|1522-3232
카페페라 유니크점|서울 서초구 방배천로 11 1층|월~토 08:30 ~ 22:00|02-522-2582
노티드 강남 카카오|서울 서초구 강남대로 429 유창빌딩 3층 나호|매일 10:30 ~ 21:00|070-8869-9377
헬무트|서울 서초구 방배천로6길 3-10 1층|월~금 11:30 ~ 22:00|
태양커피 서울사당점|서울 서초구 방배천로 32 송암빌딩 1층|매일 10:00 ~ 19:30|02-522-8182
타짜도르 강남점|서울 서초구 서초대로77길 61 1층|매일 11:00 ~ 22:00|070-8848-9965
비엔나커피하우스 이수역점|서울 서초구 동작대로 86 1층|매일 09:00 ~ 22:00|02-522-1683
심재|서울 서초구 동산로2길 40 리라빌딩 1층 101호|월~금 10:00 ~ 22:00|070-8826-9000
37.5 서래마을점|서울 서초구 서래로7길 16 민트빌딩 2층|매일 09:00 ~ 20:00|02-593-3705
베이크샵피봇|서울 서초구 방배로23길 5 하니프라자 1층|영업시간 화~일 08:00 ~ 18:00|010-7730-8559
카페오쎄|서울 서초구 방배천로4안길 32 1,2층|매일 11:00 ~ 23:30|02-523-0077
비엔나커피하우스 방배점|서울 서초구 방배로 126 석하빌딩|월~금 08:30 ~ 23:00|02-585-1683
카페로비|서울 서초구 반포대로20길 53 1층|월~금 08:30 ~ 20:00|02-525-1564
빽다방 빵연구소 신사사거리점|서울 서초구 강남대로 605 휴먼타워 1층 102호|월~토 07:30 ~ 19:50|02-517-0410
앨리스토리 커피볶는집|서울 서초구 강남대로16길 16|월~금 07:30 ~ 22:30|02-6405-7774
플랫다이닝카페|서울 서초구 서초중앙로22길 22-7 1층 101호|매일 10:00 ~ 21:00 · 휴게시간 화~일 15:00 ~ 17:00|02-598-1224
스타벅스 몬테소리점|서울 서초구 강남대로 399 한국몬테소리 빌딩 1층|월~금 07:00 ~ 22:00|1522-3232
미니말레 커피뢰스터 양재본점|서울 서초구 강남대로10길 32 1층|월~금 08:00 ~ 19:00|02-6104-4239
오페라빈로스터스 양재본점|서울 서초구 매헌로6길 55 1층|월~금 08:00 ~ 20:00|070-4100-4033
스타벅스 서울고속터미널점|서울 서초구 신반포로 194 1층|매일 07:00 ~ 22:00|1522-3232
스타벅스 양재역점|서울 서초구 강남대로 202 모산빌딩|월~금 07:00 ~ 22:00|1522-3232
레어마카롱 서초점|서울 서초구 반포대로24길 47 1층|영업시간 월~금 08:00 ~ 18:00|070-8866-6809
세컨클락|서울 서초구 청룡마을길 41 1층|영업시간 화~일 10:00 ~ 18:00|02-594-7606
폴바셋 강남삼성타운점|서울 서초구 서초대로78길 22 홍우제2빌딩 1층|월~금 07:00 ~ 22:00|02-523-4210
카페도킹|서울 서초구 동산로19길 54 1층|월~금 09:00 ~ 23:00|070-7757-1207
꿈꾸는다락방|서울 서초구 청두곶길 12 두원아파트상가 1층|매일 11:00 ~ 22:00|010-8999-7996
언니가 숨겨놓은 과자상자|서울 서초구 방배천로8길 36 1층|매일 11:00 ~ 20:00|02-6959-7666
담장옆에국화꽃 파미에점|서울 서초구 사평대로 205 파미에스테이션 2층 204호|매일 10:00 ~ 22:00|02-591-1157
엔트런스|서울 서초구 사임당로19길 72-3|화~금 10:00 ~ 20:00|
스타벅스 강남2점|서울 서초구 서초대로77길 27 유빌딩 1,2층|월~금 07:00 ~ 22:00|1522-3232
그릿918|서울 서초구 법원로2길 24|매일 08:00 ~ 02:00|02-535-0918
스타벅스 센트럴시티점|서울 서초구 신반포로 176 센트럴시티 1층|매일 07:00 ~ 22:00|1522-3232
커피라운지55|서울 서초구 반포대로 9 1층|영업시간 월~금 08:00 ~ 18:00|02-525-7705
스타벅스 강남삼성타운점|서울 서초구 서초대로78길 24 1~2층|월~토 07:00 ~ 22:00|1522-3232
햇쌀마루|서울 서초구 서운로 22|월~금 07:30 ~ 22:00|02-582-9240
더커피컴퍼니|서울 서초구 서초중앙로29길 16 이에이치빌딩 1층|매일 09:00 ~ 19:00|070-7756-3016
스타벅스 서울웨이브아트센터점|서울 서초구 잠원로 145-35|월~금 08:30 ~ 21:00|1522-3232
빌리엔젤 교대점|서울 서초구 반포대로28길 94 1층|월~금 10:00 ~ 22:00|070-4694-0269
스타벅스 사당로데오점|서울 서초구 방배천로 5-4 1~4층|월~목 07:00 ~ 22:00|1522-3232
스타벅스 남부터미널2점|서울 서초구 효령로 274|월~토 07:00 ~ 22:00|1522-3232
미스터리룸 이스케이프 강남점|서울 서초구 서초대로77길 37 5층 501호|매일 10:00 ~ 24:00|02-536-2564
스타벅스 이수역점|서울 서초구 동작대로 112 한신 휴플러스 1층|월~토 07:30 ~ 22:00|1522-3232
쿄베이커리 더인피닛카페|서울 서초구 사평대로58길 6 1층 102,103호|매일 07:30 ~ 22:00|02-536-2838
올웨이즈온|서울 서초구 방배천로8길 16-12 1층|월,화,수,목,일 11:00 ~ 21:00|02-584-7974
스타벅스 교대점|서울 서초구 서초중앙로 118 KAIS빌딩 1층|월~금 07:00 ~ 21:00|1522-3232
레트로카페트레이더|서울 서초구 효령로 316-1 2층|매일 11:00 ~ 22:00|070-8807-6910
카페슬로우|서울 서초구 서초대로77길 35 1층 104호|월~목 16:00 ~ 02:00|02-3482-0111
방배동커피상회|서울 서초구 방배중앙로 213 1,2층|월~금 10:00 ~ 22:00|
스타벅스 방배카페거리점|서울 서초구 방배중앙로 162|월~금 07:30 ~ 22:00|1522-3232
떼르드 카페 양재|서울 서초구 양재천로 111 1층|월~금 09:00 ~ 19:00|02-572-1906
카페모호|서울 서초구 양재천로7길 1 1층|영업시간 월~금 08:30 ~ 17:00|02-572-8875
노티드 강남신세계백화점|서울 서초구 신반포로 176 지하1층|월~목 10:30 ~ 20:00|1800-6067
카페 콘띠오 ConTio|서울 서초구 언남길 35 1층 101호|월~금 07:00 ~ 21:00|010-3281-5525
브라하|서울 서초구 방배로6길 15 1층|월~금 09:00 ~ 22:00|02-598-1231
스타벅스 서울교대점|서울 서초구 서초중앙로 64 1층|월~금 07:00 ~ 21:00|1522-3232
엔제리너스 강남역점|서울 서초구 서초대로77길 24 1,2층|매일 00:00 ~ 24:00 · 휴게시간 매일 04:00 ~ 05:00|02-3478-9091
싱글오커피|서울 서초구 바우뫼로 182-1|월~금 08:00 ~ 23:00|070-8879-2900
리프레셔스|서울 서초구 청두곶6길 8 1층|화~일 10:00 ~ 21:00|010-4277-2519
카페아뜰리에|서울 서초구 방배천로4길 48 1층||
아트메이저|서울 서초구 서초대로 114 1층|월~금 08:30 ~ 22:00|
아펜즈커피 서초교대역점|서울 서초구 서초중앙로 119 1,2층|월~금 08:00 ~ 05:00|
투썸플레이스 강남역아라타워점|서울 서초구 서초대로77길 3 2층|매일 08:30 ~ 20:30|02-599-8622
스타벅스 신논현역점|서울 서초구 강남대로 483|월~금 07:00 ~ 22:00|1522-3232
코오롱스포츠 솟솟618점|서울 서초구 원터2길 9 1층|영업시간 매일 08:30 ~ 18:00|02-545-8810
스타벅스 남부터미널점|서울 서초구 서초중앙로 26 서초동 삼성 래미안 아파트 유니빌1층|월~토 07:00 ~ 21:00|1522-3232
카페고고스|서울 서초구 효령로 356 1층|매일 09:00 ~ 21:00|02-584-3335
거북이|서울 서초구 방배천로4안길 48 1층|매일 12:00 ~ 22:00|070-4015-5314
동작구름카페|서울 서초구 동작대로 350|매일 07:00 ~ 24:00|
파운드로컬|서울 서초구 나루터로 65 1층||02-3447-8005
로스트라|서울 서초구 강남대로 220 1층|월~금 10:00 ~ 22:00|
스타벅스 강남교보타워R점|서울 서초구 강남대로 465 교보타워 1층|월~금 07:00 ~ 22:00|1522-3232
투썸플레이스 반포대로점|서울 서초구 반포대로 300 덕성빌딩 1층|월~금 07:00 ~ 23:00|02-2088-1240
