카페명|주소|영업시간|전화번호
디자이너리카페|서울 관악구 관천로 71-1 4층|월~토 10:00 ~ 23:00|02-868-7112
사생활 신림점|서울 관악구 신사로14길 19 지하1층|월~금 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 16:00|070-5033-7759
폼앤노말|서울 관악구 신림로67길 25 1층|월~금 13:00 ~ 22:00|010-4053-1124
고로커피로스터스|서울 관악구 남부순환로231길 33 1층|월,화,목,금 11:00 ~ 20:00|
온고지신|서울 관악구 관악로14길 101 1, 2층|매일 12:00 ~ 22:00|02-6338-5977
황홀경|서울 관악구 관악로14길 37 지하1층|매일 12:00 ~ 22:30|02-6449-7362
소디스 에스프레소바 샤로수길|서울 관악구 남부순환로230길 45 1층 101호|매일 11:00 ~ 23:00|02-6084-0061
카페폴|서울 관악구 남부순환로234길 43 1층|매일 10:00 ~ 22:00|070-8100-9091
데이즈앤데이즈|서울 관악구 시흥대로 578 광안빌딩 2층|매일 09:00 ~ 23:00|02-869-0077
비엔나커피하우스 신림점|서울 관악구 신림로 363 1~3층|매일 09:00 ~ 23:50|02-875-1683
발루토|서울 관악구 신림로23길 28 1~3층|매일 09:00 ~ 21:00|02-875-1155
데일리오아시스 샤로수길점|서울 관악구 관악로14길 74-3 1층|매일 12:00 ~ 23:00|070-7739-8282
메이지커피|서울 관악구 난곡로 363-1 2층|월~금 11:30 ~ 23:00|02-6326-5188
스타벅스 사당점|서울 관악구 남부순환로 2082-25 1,2층|월~금 07:00 ~ 22:00|1522-3232
티라노커피|서울 관악구 남부순환로230길 39|매일 11:00 ~ 23:00|
오후의과일|서울 관악구 관악로14길 15 2층|월,수,목,금,토,일 11:00 ~ 23:00 · 휴게시간 월,수,목,금,토,일 16:00 ~ 18:00|
카페녹다|서울 관악구 신림로15길 31 1층|매일 08:00 ~ 23:00|
스타벅스 신림DT점|서울 관악구 남부순환로 1419|월~금 07:00 ~ 22:00|1522-3232
테이블1629|서울 관악구 장군봉2길 32 1층|매일 11:00 ~ 23:00|02-883-1629
뉴욕택시디저트|서울 관악구 남부순환로 1870 1층|월~토 11:00 ~ 22:00|070-8711-1013
스타벅스 낙성대DT점|서울 관악구 남부순환로 1948|매일 07:00 ~ 22:00|1522-3232
스타벅스 관악서울대입구R점|서울 관악구 관악로 158 BS타워 1층|월~금 07:00 ~ 22:00|1522-3232
커피볶는여자|서울 관악구 관악로14가길 2|화~일 12:00 ~ 23:30|
스타벅스 서울대입구역점|서울 관악구 남부순환로 1812|월~금 07:00 ~ 21:30|1522-3232
아모르미오|서울 관악구 행운2길 20 1층|월~금 08:00 ~ 21:00|070-4306-5006
투썸플레이스 사당점|서울 관악구 남부순환로 2082-33 성광빌딩 1층|매일 07:00 ~ 23:00|02-581-7767
보스커피&브런치|서울 관악구 봉천로33길 7 1층|매일 10:30 ~ 24:00|02-872-8345
궁전다방|서울 관악구 남부순환로 1500 1층|월,화,수,목,금,일 11:00 ~ 24:00|
스타벅스 신림타임스트림점|서울 관악구 신림로 330 타임스트림 1층 101호|월~금 07:00 ~ 22:00|1522-3232
