카페명|주소|영업시간|전화번호
페니힐스|서울 동작구 동작대로1길 10-14 1,2층|매일 12:00 ~ 21:00|
세녹|서울 동작구 사당로 304|매일 00:00 ~ 24:00|02-597-8001
뚜스뚜스 흑석역점|서울 동작구 현충로 75 1층|매일 07:00 ~ 23:00|02-3664-9000
머치커피|서울 동작구 동작대로9길 43 1층|매일 11:00 ~ 21:00|0507-1320-2726
카페퍼블리코|서울 동작구 상도로 47 헬로우빌딩 A동 1,2층|매일 10:00 ~ 22:00|02-815-4000
디피스트|서울 동작구 동작대로27길 31 2층|목요일|
터방내|서울 동작구 흑석로 101-7|월~토 11:00 ~ 24:00|02-813-4434
프레임676|서울 동작구 시흥대로 676 1층|월,화,수,목,금,일 11:00 ~ 22:00|070-8807-6046
더한강|서울 동작구 노량진로32길 29-6 1,2층|매일 09:00 ~ 22:00|
도쿄빙수 이수점|서울 동작구 동작대로27길 38 1층 103,104호|매일 12:00 ~ 22:00|02-3482-0503
스타벅스 노량진역점|서울 동작구 노량진로 134|매일 07:00 ~ 22:00|1522-3232
스타벅스 사당역점|서울 동작구 동작대로 21 양지빌딩 1~3층|목,금 07:00 ~ 23:00|1522-3232
스타벅스 보라매공원R점|서울 동작구 보라매로5길 35|월~금 07:00 ~ 21:00|1522-3232
미학당|서울 동작구 사당로 56 2층|영업시간 화~토 09:00 ~ 17:00|02-816-0301
카페좋아진다|서울 동작구 사당로26길 87 1층|월~토 10:00 ~ 21:00|02-812-0222
파니모들|서울 동작구 동작대로 153 1층|월,화,목,금 09:00 ~ 22:30|070-7607-8252
도어이스케이프 이수역점|서울 동작구 동작대로27가길 14 3층|월~금 14:00 ~ 22:10|02-534-9745
프랑세즈|서울 동작구 현충로 96|매일 11:00 ~ 21:00|
프로스퍼|서울 동작구 여의대방로24길 101 지하1층, 1층|매일 10:00 ~ 24:00|
카멜커피 11호점|서울 동작구 양녕로36길 12 1,2층|매일 10:00 ~ 21:00|010-939-1895
스타벅스 신대방삼거리역점|서울 동작구 상도로 102 성대쇼핑센타 1,2층|매일 07:30 ~ 22:00|1522-3232
