카페명|주소|영업시간|전화번호
앤트러사이트 연희점|서울 서대문구 연희로 135|매일 08:50 ~ 22:00|02-332-7650
더파이홀|서울 서대문구 연세로5나길 20 1층|매일 11:00 ~ 22:00|010-4258-1181
벙커1|서울 서대문구 충정로 20|매일 11:30 ~ 23:00|02-771-7707
독수리다방|서울 서대문구 연세로 36 독수리빌딩 8층|매일 11:00 ~ 23:30|02-363-1222
롯지190|서울 서대문구 홍제천로 190 1층|월,화,수,목,일 11:00 ~ 21:00|
로덴드론 연희점|서울 서대문구 연희로25길 82|매일 08:00 ~ 22:00|02-332-2288
매뉴팩트커피 연희본점|서울 서대문구 연희로11길 29 2층|월~토 09:00 ~ 18:00|02-6406-8777
카페폭포|서울 서대문구 연희로 262-24|매일 11:00 ~ 22:00|02-330-4998
스웨이커피스테이션|서울 서대문구 연희로11길 61|월~금 11:00 ~ 21:30|02-6348-0061
클로리스 신촌점|서울 서대문구 연세로4길 38|월~토 11:00 ~ 23:00|02-392-7523
하이드미플리즈 홍제점|서울 서대문구 통일로39나길 5 1층|매일 11:00 ~ 22:00|
그릭데이 이대본점|서울 서대문구 신촌역로 22-8 대국빌딩 1층|매일 11:00 ~ 21:00|02-363-9222
푸어링아웃|서울 서대문구 연희로11나길 7-7|매일 10:00 ~ 22:00|
올레무스|서울 서대문구 연희로5길 58 1층|화,수,목요일|
호밀밭|서울 서대문구 신촌역로 43 1층|매일 12:00 ~ 22:00|02-392-5345
티앙팡 오후에 홍차 1호점|서울 서대문구 이화여대길 34 1,2층|매일 12:00 ~ 23:00|02-364-4196
와플잇업 이대2호점|서울 서대문구 이화여대3길 42-19|매일 12:00 ~ 22:00|070-4410-2829
금옥당 연희점|서울 서대문구 연희로11라길 2 1층|매일 11:00 ~ 21:00|02-322-3378
스타벅스 연희DT점|서울 서대문구 연희로 144|매일 07:00 ~ 22:00|1522-3232
에이투지카페|서울 서대문구 연세로4길 29|매일 12:30 ~ 23:00|02-313-7523
스타벅스 이대R점|서울 서대문구 이화여대길 34|월~토 08:00 ~ 19:00|1522-3232
미네르바|서울 서대문구 명물길 18 2층|월~토 10:30 ~ 21:30|02-3147-1327
스타벅스 신촌점|서울 서대문구 연세로 10-1 즐거운빌딩 1~3층|월~금 07:00 ~ 22:00|1522-3232
커피크레페 본점|서울 서대문구 신촌로 87-8 1층|매일 09:00 ~ 22:00|0507-1430-3688
디폴트밸류|서울 서대문구 성산로 333 1층|매일 11:00 ~ 19:00|02-2293-3889
시간이머무는홍차가게|서울 서대문구 연희로16길 7-15|화~토 11:00 ~ 19:00|070-4843-3541
프로토콜|서울 서대문구 연희로 109 2층|매일 10:30 ~ 22:00|010-3927-6159
롤리홀리|서울 서대문구 통일로 510 북한산더샵 상가동 2층|월~토 11:00 ~ 20:00|070-7773-2194
문베어|서울 서대문구 명물길 66 1층|매일 11:00 ~ 23:00|02-393-9488
소설원|서울 서대문구 통일로 419-1 1층|매일 08:30 ~ 22:00|0507-1384-0619
스타벅스 홍제역점|서울 서대문구 통일로 451|매일 07:00 ~ 22:00|1522-3232
설빙 신촌점|서울 서대문구 연세로 23 2층|매일 10:30 ~ 23:00|070-7716-8970
스타벅스 북가좌DT점|서울 서대문구 응암로 85|매일 07:00 ~ 22:00|1522-3232
원앤온리커피|서울 서대문구 이화여대7길 31-4 1층|월~토 11:00 ~ 21:00|
벨라프라하|서울 서대문구 이화여대길 77 1층|월~토 11:00 ~ 22:00|02-363-3559
옥루몽 신촌본점|서울 서대문구 연대동문길 18 LOFT 1층|월~금 08:00 ~ 22:00|02-312-0015
고양이다락방|서울 서대문구 연세로 25-1 3층 1호|매일 12:00 ~ 22:00|010-2618-9747
스타벅스 가재울뉴타운점|서울 서대문구 가재울미래로 2 2단지 별동상가 1층|매일 07:00 ~ 21:30|
스타벅스 신촌명물거리점|서울 서대문구 명물길 24 1~5층|월~목 09:30 ~ 21:00|1522-3232
보틀라운지|서울 서대문구 홍연길 26 1층|화~일 10:00 ~ 21:00|02-3144-0703
스위스그랜드호텔 에이트리움|서울 서대문구 연희로 353 지하 로비층|매일 10:00 ~ 22:00|02-2287-8270
오월의이유|서울 서대문구 증가로10길 36-41 1층|매일 11:00 ~ 22:00|070-8095-3641
로네펠트티하우스 서대문점|서울 서대문구 충정로 71-5 1층|월~금 10:00 ~ 23:00|02-313-1823
베어스덴|서울 서대문구 연희로4길 10 1,2층|영업시간 화~금 11:00 ~ 17:00|
본지르르 연희|서울 서대문구 연희로 189-16|매일 12:00 ~ 22:00|
페이퍼넛츠|서울 서대문구 거북골로24길 37-8 1층|수~금 11:00 ~ 19:00|02-6408-7799
메가MGC커피 신촌점|서울 서대문구 연세로5가길 8-6 1,2층|월,화,수,목,일 08:00 ~ 23:00|02-336-6051
카페모래내1번지|서울 서대문구 수색로 43 가좌행복주택 복합커뮤니티센터 1층 105호|매일 11:00 ~ 22:00|0507-1344-0890
스타벅스 연희동점|서울 서대문구 연희로 97|월~금 07:00 ~ 22:00|1522-3232
수변테라스카페|서울 서대문구 홍은동 429||
카페 나무|서울 서대문구 명물길 2 2층|매일 00:00 ~ 24:00|
노아스로스팅 헤리티지점|서울 서대문구 연희로 160 1층|월~금 08:00 ~ 21:00|02-3141-6356
꽃피다이화다방|서울 서대문구 이화여대길 75 이화타워8층|월~토 10:00 ~ 23:10|
카페페라 유니크점|서울 서대문구 이화여대길 52-45 2~4층|월~토 08:30 ~ 22:30|02-363-2878
맥널티커피팩토리|서울 서대문구 연희로 152 맥널티빌딩 1층|월~금 08:00 ~ 20:00|
스타벅스 신촌역점|서울 서대문구 신촌로 73 1층|월~금 07:30 ~ 21:00|1522-3232
JMD.coffee|서울 서대문구 통일로17길 16|매일 10:00 ~ 21:00|02-363-0011
룸익스케이프 화이트점|서울 서대문구 명물길 66 2층|월~금 13:00 ~ 22:00|010-2766-5680
파파|서울 서대문구 연세로5길 28||02-322-6131
더클루 신촌프리미엄점|서울 서대문구 명물길 62 오시리스타워 지하2층|매일 09:30 ~ 23:30|02-392-2225
휴|서울 서대문구 명물길 6 5층|매일 11:00 ~ 05:00|
커피빈 신촌점|서울 서대문구 연세로 8-1 지하 1층|월~금 07:30 ~ 22:00|02-363-5572
에버라인 뮤직&카페|서울 서대문구 신촌역로 29|매일 10:00 ~ 20:00|02-392-5111
아워온즈|서울 서대문구 연희맛로 45 지하1층,1,2층|매일 10:00 ~ 22:00|02-333-3322
미스터힐링 신촌점|서울 서대문구 신촌로 119 신영스카이텔 지하1층|매일 12:00 ~ 22:00|02-2138-1187
카페코지|서울 서대문구 이화여대길 88-19 1층 2호|매일 10:00 ~ 20:00|070-4307-4192
스타벅스 남가좌사거리점|서울 서대문구 거북골로 84 DMC에코자이 104동|매일 08:00 ~ 21:00|1522-3232
산스|서울 서대문구 홍연4길 33 1층|영업시간 수~금 11:00 ~ 17:00|02-3144-3111
투썸플레이스 가재울뉴타운점|서울 서대문구 수색로 100 DMC래미안이편한세상 401동 상가 1층|매일 08:00 ~ 23:00|02-304-2338
스타벅스 연세백양로점|서울 서대문구 연세로 50 지하1층|월~토 08:00 ~ 20:00|1522-3232
포티드|서울 서대문구 명물길 36-3 1층|매일 11:30 ~ 22:30|070-7543-6627
이디야커피 신촌역점|서울 서대문구 신촌로 87-20 1,2층|화~토 00:00 ~ 24:00|02-3144-3914
스타벅스 연대동문점|서울 서대문구 성산로 565 연세재단 Y빌딩|월~금 07:00 ~ 19:00|1522-3232
투썸플레이스 홍제삼거리점|서울 서대문구 통일로 397 상가동 1층 B403~B408호|매일 09:00 ~ 22:00|02-6952-8363
스타벅스 연대점|서울 서대문구 연세로 35 2~4층|월~목 08:00 ~ 20:00|1522-3232
스타벅스 아현역점|서울 서대문구 신촌로35길 10 e편한세상신촌4단지 상가 1층|월~금 07:30 ~ 22:00|1522-3232
카페에뚜왈 충정로점|서울 서대문구 충정로4길 28 1층|월~금 08:00 ~ 19:30|02-313-7604
카시코이|서울 서대문구 성산로 253-4 금송빌딩 1층 101-1호|매일 11:00 ~ 19:00|070-4179-8127
투썸플레이스 신촌연세로점|서울 서대문구 연세로 28|매일 08:00 ~ 22:30|02-6959-0262
할리스 신촌점|서울 서대문구 연세로 34 1층|월~금 10:00 ~ 23:00|02-393-2004
그래인바운더리|서울 서대문구 명물길 50-6|매일 11:00 ~ 22:30|
투썸플레이스 동교동삼거리점|서울 서대문구 신촌로 1 쓰리알유시티빌딩 1층|월~금 08:00 ~ 23:00|02-336-4006
래핑폭스|서울 서대문구 연희로11나길 5 1층|월,목,금,토,일 11:00 ~ 21:00|02-6401-2999
까페여름|서울 서대문구 가재울로6길 53-3 1층|월~목 13:00 ~ 19:00|070-4107-9510
언플러그드 신촌점|서울 서대문구 연세로 13 현대백화점 유플렉스 11층|매일 10:30 ~ 22:00|02-3145-3082
