카페명|주소|영업시간|전화번호
카페1953위드오드리|서울 영등포구 경인로77가길 12 1층|매일 10:00 ~ 22:00|02-2672-0504
마호가니커피 여의도점|서울 영등포구 여의대로 66 하이투자증권빌딩 1층|월~금 07:00 ~ 21:00|02-785-8880
커피리브레 영등포타임스퀘어점|서울 영등포구 영중로 15 타임스퀘어 1층 112호|매일 10:30 ~ 22:00|02-2635-0615
뚜스뚜스베이커리카페|서울 영등포구 양평로 132 더 스테이트 선유 호텔 1층|매일 07:00 ~ 01:00|02-2632-9006
시즌커피앤베이크|서울 영등포구 양산로9길 12-1|매일 08:00 ~ 21:00|02-2676-7161
카페솔트|서울 영등포구 도림로133길 12 1층|화~금 12:00 ~ 21:50|0507-1338-1540
팜스프링스|서울 영등포구 도신로60길 22-3 2층|월~금 08:00 ~ 21:30|02-847-1107
보사노바 커피로스터스 문래점|서울 영등포구 영등포로20길 22-4|월~금 08:00 ~ 22:00|02-2633-0038
라크라센타 문래본점|서울 영등포구 문래로 92-5|월~금 08:00 ~ 21:50|02-2676-6202
맨홀커피|서울 영등포구 영신로 247 당산센트럴아파트 상가B동 지하1층|화~일 12:00 ~ 22:30|02-6398-9427
영등포 카페드람브르|서울 영등포구 경인로 867 호텔GMS 2층|매일 10:00 ~ 22:00|02-882-3377
홍설|서울 영등포구 의사당대로1길 25 1층|월~금 09:00 ~ 22:00|02-786-1400
노버든|서울 영등포구 당산로31길 25 2층 201호|월~금 10:00 ~ 21:00|0507-1340-4994
더플레이트디저트 더현대서울점|서울 영등포구 여의대로 108 지하1층|월~목 10:30 ~ 20:00|02-3277-0796
피크니크 선유도점|서울 영등포구 양평로22길 2-1 1층|매일 10:00 ~ 21:30|070-4110-6770
피그인더가든 여의도점|서울 영등포구 여의대로 56 한화손해보험빌딩 1층|월~금 08:00 ~ 21:00|02-761-4272
카페설리번|서울 영등포구 당산로 241 유니언타운 1층|매일 10:00 ~ 22:00|02-2068-8825
이스트우드 도림점|서울 영등포구 도신로17길 6 1층|목 09:30 ~ 20:00|070-4459-0103
평화|서울 영등포구 도림로131길 13 1층|월~금 13:00 ~ 24:00|
로스톤|서울 영등포구 대림로31가길 13 1-4층|월,화,수,목,일 10:00 ~ 23:00|02-832-1820
선유기지|서울 영등포구 선유로51길 1 1층, 지하1층|월~금 11:30 ~ 22:00|070-4797-0082
엘리스커피하우스|서울 영등포구 영중로4길 1 1층|매일 10:00 ~ 01:00|
10G|서울 영등포구 국제금융로 10 1층|매일 07:00 ~ 22:00|02-6137-7788
스타벅스 영등포신길점|서울 영등포구 신길로 137 1,2층|월~금 07:00 ~ 22:00|1522-3232
기글|서울 영등포구 도림로128길 21 1층|수~금 12:00 ~ 21:30|
아이엠베이글 여의도점|서울 영등포구 국제금융로 86 롯데캐슬아이비 지하1층 B125호|월~금 08:00 ~ 20:00|070-4233-2881
포프트커피|서울 영등포구 경인로114길 10-1 1층|매일 10:00 ~ 22:00|010-5162-6688
