카페명|주소|영업시간|전화번호
인크커피 가산플래그십스토어|서울 금천구 가산디지털2로 127-20 B03, 101, 103, 201호|월~금 08:00 ~ 21:00|02-854-7200
스미다|서울 금천구 벚꽃로 298 대륭포스트6차 b143호|월~토 11:30 ~ 23:00|070-4633-2525
스타벅스 금천독산점|서울 금천구 두산로 70 남서울현대지식산업센터 T로비층 108호|월~금 07:00 ~ 21:00|1522-3232
자작나무카페|서울 금천구 가산로 61 1층|월~토 10:00 ~ 22:00|0507-1418-8918
스타벅스 가산디지털점|서울 금천구 가산디지털1로 168 우림라이온스벨리 B동 1층|월~금 07:00 ~ 21:00|1522-3232
스타벅스 독산사거리점|서울 금천구 시흥대로 426|월~금 08:00 ~ 21:00|1522-3232
스타벅스 가산디지털단지역점|서울 금천구 벚꽃로 298|월~금 07:00 ~ 21:00|1522-3232
모나드커피로스터스|서울 금천구 금하로24길 5 1층|매일 09:00 ~ 21:00|010-7516-0892
카페로드|서울 금천구 범안로 1152 독산빌딩 2층|매일 11:00 ~ 22:00|0507-1448-3375
스타벅스 금천시흥점|서울 금천구 시흥대로 164|월~토 08:00 ~ 21:00|1522-3232
냥카페묘연|서울 금천구 시흥대로 189 인피니움타워 3층 305호|화~일 11:00 ~ 20:00|070-4048-0948
스타벅스 금천구청역점|서울 금천구 시흥대로73길 67 엠타워 112~115호|월~금 07:00 ~ 21:00|1522-3232
투썸플레이스 가산디지털점|서울 금천구 가산디지털1로 186 제이플라츠 1층 106,106-1호|월,수,목,금 07:00 ~ 23:30|02-866-9308
투썸플레이스 독산사거리점|서울 금천구 시흥대로 422 금형회관 1층|월~금 09:30 ~ 21:30|02-858-2329
무드무드|서울 금천구 탑골로4길 58 1,2층|매일 09:00 ~ 22:00|0507-1368-4460
투썸플레이스 시흥사거리점|서울 금천구 시흥대로 228 1층|매일 09:00 ~ 22:00|02-893-2388
온초점|서울 금천구 남부순환로124길 17|화~일 11:00 ~ 20:00|
스타벅스 독산역점|서울 금천구 가산디지털1로 16|월~금 07:00 ~ 20:30|1522-3232
스타벅스 가산에스케이점|서울 금천구 가산디지털1로 171 SKV1센터 1층|월~금 07:00 ~ 21:00|1522-3232
투썸플레이스 가산하이엔드클래식점|서울 금천구 벚꽃로24길 26 1층|월~금 08:30 ~ 21:00|02-2085-0155
C27 현대시티아울렛 가산점|서울 금천구 디지털로10길 9 7층|월~목 10:30 ~ 21:00|02-2136-9780
할리스 가산디지털단지점|서울 금천구 가산디지털1로 186 제이플라츠 1층|월~목 07:00 ~ 22:00|02-2028-7111
설빙 시흥사거리점|서울 금천구 시흥대로 229 2층|매일 11:00 ~ 23:00|0507-1427-7355
커피오스|서울 금천구 가산디지털1로 5 대륭테크노타운20차 112호|월~금 07:30 ~ 21:00|02-2225-0071
스타벅스 가산그레이트점|서울 금천구 디지털로9길 32 갑을 그레이트 밸리 1층|월~금 07:00 ~ 19:00|1522-3232
투썸플레이스 금천롯데캐슬골드파크점|서울 금천구 벚꽃로 40 근린상가 113동 101호|월~금 09:00 ~ 23:00|02-802-1222
투썸플레이스 석수역점|서울 금천구 시흥대로 8 아르스파크 101호|매일 08:20 ~ 22:30|02-804-1003
투썸플레이스 현대지식산업센터점|서울 금천구 두산로 70 1층 T-122호|월~금 07:30 ~ 23:00|02-2181-3530
스타벅스 가산브이타워점|서울 금천구 가산디지털1로 128|월~금 07:00 ~ 19:30|1522-3232
마중물|서울 금천구 가산디지털2로 142 1층|월~금 08:30 ~ 18:30|010-9600-8957
카페구움|서울 금천구 시흥대로 315 금천마르쉐도르 2층 212호|화~일 09:30 ~ 19:00|010-6805-9281
