카페명|주소|영업시간|전화번호
메이비|서울 구로구 디지털로32나길 51|화~금 08:30 ~ 23:00|02-859-3073
에버애프터|서울 구로구 새말로18길 36-10 지층|1/18(목)|070-7543-1098
디저트샵시소|서울 구로구 천왕로 29 상가동 1층 101호|수~일 11:00 ~ 20:00|010-8372-8487
빈브라더스 현대백화점디큐브시티점|서울 구로구 경인로 662 별관 3층|매일 11:00 ~ 22:00|02-2210-9351
히어로스터 신도림점|서울 구로구 경인로63길 21-8 1층|월~금 09:00 ~ 22:00|
투썸플레이스 구로디지털역깔깔거리점|서울 구로구 디지털로32길 97-39 성민빌딩 2층|월,화,수,목,일 08:00 ~ 01:00|02-855-7791
스타벅스 신도림점|서울 구로구 경인로 610|월~금 07:30 ~ 20:00|1522-3232
데일리스위츠|서울 구로구 중앙로 9 1층|목~일 12:00 ~ 20:00|02-877-6126
스타벅스 구로호텔점|서울 구로구 디지털로32길 72 구로호텔 1층|목,금 07:00 ~ 22:00|1522-3232
9로평상|서울 구로구 서해안로 2134||
카페몽글|서울 구로구 공원로6나길 29-17 1층|월~금 11:30 ~ 22:00|02-854-4620
스타벅스 구로오류DT점|서울 구로구 서해안로 2233|목~일 07:00 ~ 22:00|1522-3232
투썸플레이스 신도림디큐브시티점|서울 구로구 경인로 662 디큐브시티 2층|매일 09:00 ~ 24:00|02-2210-9233
스타벅스 구로고척점|서울 구로구 경인로 387|매일 08:00 ~ 20:00|1522-3232
밀리커피|서울 구로구 새말로 62 1층|월~금 10:30 ~ 23:00|
폴바셋 구로지밸리몰점|서울 구로구 디지털로 300 1층 1호|월~금 08:00 ~ 21:00|02-6344-3788
적소|서울 구로구 개봉로16가길 10-28 1층|월~금 09:00 ~ 19:00|02-2612-0701
스타벅스 구로디지털타워점|서울 구로구 디지털로32길 30|월~금 07:00 ~ 20:00|1522-3232
힙스터커피 서울본점|서울 구로구 경인로33길 15|월~토 10:30 ~ 19:30|010-9811-9855
스타벅스 오류동역점|서울 구로구 경인로 216 1층|월~금 07:00 ~ 21:00|1522-3232
스타벅스 구로디지털로점|서울 구로구 디지털로33길 11 에이스테크노타워 8차 1층|월~금 07:00 ~ 22:00|1522-3232
설빙 구로지밸리점|서울 구로구 디지털로 300 1층 107호|매일 11:00 ~ 22:30|02-6344-3959
라크라센타|서울 구로구 가마산로 242 희망재단 1층|월~금 08:00 ~ 23:00|02-866-6202
스타벅스 현대디큐브2F점|서울 구로구 경인로 662 2층|월~목 11:00 ~ 21:00|1522-3232
메가MGC커피 신도림역점|서울 구로구 경인로 661 신도림1차푸르지오상가 1층 133호|월~금 07:30 ~ 22:30|02-3439-7808
띵크커피 디큐브시티점|서울 구로구 경인로 662 디큐브시티 지하1층|매일 08:00 ~ 21:50|02-2210-9074
스타벅스 구로구청점|서울 구로구 가마산로 232 스페스큐브 B101호|월~금 07:00 ~ 22:00|1522-3232
보은하다|서울 구로구 경인로67길 23 신도림2차푸르지오 상가동 101-127호|매일 11:00 ~ 23:00|
스타벅스 고척아이파크점|서울 구로구 경인로43길 49 1층 D-101호|매일 07:00 ~ 22:00|1522-3232
투썸플레이스 개봉역점|서울 구로구 남부순환로97길 20-1 1,2층|매일 10:00 ~ 23:00|02-2618-8133
스타벅스 구로NC점|서울 구로구 구로중앙로 152|매일 08:00 ~ 22:00|1522-3232
397카페|서울 구로구 신도림로 25|매일 10:00 ~ 21:00|
이름없는가게|서울 구로구 개봉로1나길 52|화~일 11:00 ~ 18:30|02-2613-9488
잉크커피|서울 구로구 디지털로30길 28 마리오타워 1층 109호|월~금 08:00 ~ 21:00|
탐앤탐스 신도림점|서울 구로구 경인로 661 신도림1차 푸르지오1층|매일 08:00 ~ 24:00|02-3439-7887
메가MGC커피 구로깔깔거리점|서울 구로구 시흥대로 557 1층||02-859-5599
마라나타|서울 구로구 부일로 969|월~토 09:00 ~ 22:00|
엔제리너스 온수DT|서울 구로구 경인로 81 1~2층|매일 08:00 ~ 22:00|02-2625-7974
디저트39 구로디지털단지역점|서울 구로구 디지털로32가길 13|매일 08:00 ~ 02:00|02-856-5335
오브베이크|서울 구로구 디지털로32가길 9 대성빌딩 2층 202호|월~금 11:00 ~ 22:00|010-4203-5494
작업하는 카페에베르|서울 구로구 경인로3길 77 세건빌딩 2층|월~토 10:00 ~ 22:00|02-2625-3467
스타벅스 구로에이스점|서울 구로구 디지털로 285 에이스트윈타워1 103호|월~금 07:00 ~ 20:00|1522-3232
