카페명|주소|영업시간|전화번호
커피별녹색잔|서울 양천구 목동로21길 26|화~일 09:00 ~ 23:00|02-2696-3337
카페제하|서울 양천구 목동동로 177 삼성쉐르빌2차 1층|영업시간 매일 10:00 ~ 18:00|
스타벅스 신월IC DT점|서울 양천구 남부순환로 430|매일 07:00 ~ 22:30|1522-3232
제이브라운 목동점|서울 양천구 오목로 354 목동센트럴푸르지오 101동 101호|매일 08:00 ~ 22:00|
스타벅스 신정DT점|서울 양천구 신월로 341|매일 07:00 ~ 21:00|1522-3232
스타벅스 오목교역점|서울 양천구 오목로 354|월,화,수,목,일 07:00 ~ 21:00|1522-3232
도쿄빙수 오목교역점|서울 양천구 오목로 328 1층|매일 12:00 ~ 22:00|02-2644-6568
하니앤손스|서울 양천구 신목로2길 68 오목빌딩 1층 107호|화~일 11:00 ~ 21:00|02-2651-8989
패닉이스케이프 목동지점|서울 양천구 신정중앙로 96 4층|월~금 15:00 ~ 23:00|02-6408-5044
카페꼬숩|서울 양천구 신목로4길 1|월~토 11:00 ~ 22:00|02-2653-2249
퍼블릭맨션|서울 양천구 등촌로 154 1층|매일 09:00 ~ 22:00|02-2654-6695
스타벅스 목동8단지점|서울 양천구 목동서로 299|매일 07:00 ~ 21:00|1522-3232
스타벅스 목동역점|서울 양천구 목동로 203|월~토 07:30 ~ 22:00|1522-3232
커피그레이드|서울 양천구 중앙로51길 71|매일 09:00 ~ 22:30|
스타벅스 신월동DT|서울 양천구 남부순환로 319|월,화,수,목,일 07:00 ~ 21:00|1522-3232
커피집 이공|서울 양천구 오목로 204 2층|매일 10:00 ~ 22:00|
스타벅스 등촌역점|서울 양천구 공항대로 566 1,2층|월~금 07:30 ~ 21:00|1522-3232
비엔나커피하우스 목동7단지점|서울 양천구 목동서로 211 1층|월~금 07:30 ~ 24:00|
카페올리|서울 양천구 오목로4길 15 1층|월~토 10:00 ~ 21:00|
카페아리네|서울 양천구 목동동로 222-11 카페 아리네|월~금 11:00 ~ 23:00|02-2648-5735
카페히든|서울 양천구 목동동로 222-6 1층|매일 11:30 ~ 22:00|070-8774-1774
카페스페이스530|서울 양천구 목동중앙본로 122 1, 2층|월~금 10:00 ~ 24:00|
이디야커피 오목교대학학원점|서울 양천구 오목로 319 1층|월~금 00:00 ~ 24:00|02-2651-0511
스타벅스 목동점|서울 양천구 목동서로 67|매일 07:30 ~ 20:00|1522-3232
