카페명|주소|영업시간|전화번호
고양이정원|서울 강서구 개화동로19길 18 1층|월~금 10:30 ~ 21:00|02-2665-4507
카페우드진|서울 강서구 마곡중앙6로 45 리더스퀘어마곡 1층 113호|월~금 07:30 ~ 22:00|02-6052-0116
고양이똥 브런치|서울 강서구 공항대로59가길 13|매일 11:00 ~ 21:00|02-6013-1281
어나더사이드|서울 강서구 강서로 318 1층|월~금 09:00 ~ 22:00|02-3665-9877
광화문살롱|서울 강서구 공항대로45길 63 1층 105,106호|매일 07:30 ~ 22:00|02-2668-3966
브루클린커피|서울 강서구 강서로52길 16 1층|매일 07:00 ~ 23:00|02-3664-5595
헤리스헤이스|서울 강서구 마곡동로3길 26 1층 103호|영업시간 월~금 09:00 ~ 17:00|010-8962-9532
스타벅스 마곡나루역점|서울 강서구 마곡중앙로 161-17|목,금 07:00 ~ 22:30|1522-3232
구도커피|서울 강서구 등촌로35길 121 1,2층|월~금 11:30 ~ 19:30|02-6348-2460
인라이크|서울 강서구 양천로30길 103 화성빌딩 1층 103호|월,수,목 11:00 ~ 20:30|070-7789-3344
고양이똥 3호점|서울 강서구 공항대로45길 30 1층|월~금 09:00 ~ 21:30|02-2694-0285
스타벅스 화곡DT점|서울 강서구 등촌로 57|월~금 07:00 ~ 22:00|1522-3232
스타벅스 마곡사이언스타워R|서울 강서구 마곡동로 62|월~금 07:00 ~ 21:00|1522-3232
스타벅스 방화DT|서울 강서구 방화대로 375|매일 07:00 ~ 21:30|1522-3232
빌리엔젤 마곡역점|서울 강서구 마곡중앙로 56 1,2층|월~금 08:00 ~ 22:30|02-2664-3230
맥켄지커피 까치산역점|서울 강서구 강서로 47-6|월~목 08:00 ~ 23:00|02-2604-6323
스타벅스 김포공항DT점|서울 강서구 개화동로 517|월~금 07:00 ~ 21:00|1522-3232
밀화당 강서직영점|서울 강서구 공항대로 236 1층|매일 09:30 ~ 21:30|02-2666-5556
비엔나커피하우스 마곡나루역점|서울 강서구 마곡중앙5로1길 20 219호|매일 10:00 ~ 23:00|02-2093-6575
카페움플레이트|서울 강서구 마곡중앙1로 72 마곡엠밸리10단지 1014동 상가1층 101호|월~금 09:30 ~ 19:30|02-2662-5881
스타벅스 발산역점|서울 강서구 강서로 388 그랜드백화점 3동 1층|월~목 07:30 ~ 21:00|1522-3232
카페비쥬|서울 강서구 강서로47다길 17 1층|월~금 12:00 ~ 22:00|
미스터힐링 마곡발산역점|서울 강서구 마곡중앙6로 93 열린프라자 4층|매일 11:00 ~ 23:30|02-2668-2888
스타벅스 가양역점|서울 강서구 양천로 476|월~금 07:00 ~ 21:00|1522-3232
스타벅스 화곡동점|서울 강서구 화곡로 142|목~토 07:30 ~ 22:00|1522-3232
