카페명|주소|영업시간|전화번호
1인1잔|서울 은평구 연서로 534 1,2층|화~일 10:00 ~ 21:00|02-355-1111
롱브레드 은평한옥마을점|서울 은평구 연서로 530 1, 2층|매일 10:00 ~ 20:00|02-352-7290
YM커피프로젝트|서울 은평구 연서로29길 21-8 1층|월,수,목,금,토,일 11:30 ~ 23:00|070-7767-0829
카페뤽상부르|서울 은평구 연서로25길 6-11 1, 2층|매일 11:00 ~ 23:00|02-385-2846
근린커피|서울 은평구 응암로21길 23|매일 11:00 ~ 23:00|070-7715-5300
휴가|서울 은평구 진관2로 19 휴먼프라자 3층|매일 10:00 ~ 22:00|02-352-7400
스타벅스 더북한산점|서울 은평구 대서문길 24-11|월~금 08:00 ~ 20:00|1522-3232
플로|서울 은평구 서오릉로 20-1 1층|월,화,목,금,토,일 11:00 ~ 22:00|02-355-4862
카페309|서울 은평구 의상봉길 56-16 의상빌딩 1~3층|매일 10:00 ~ 20:00|
해례커피|서울 은평구 통일로83길 19 1층|월,화,목,금 11:30 ~ 23:00|02-384-1732
카페아사|서울 은평구 불광천길 338 2층|매일 12:00 ~ 22:00|070-4950-2577
스타벅스 은평구청입구점|서울 은평구 은평로 170 상현빌딩 1층|매일 07:00 ~ 22:00|1522-3232
카페미제|서울 은평구 연서로 19 1, 2층|매일 08:00 ~ 23:00|
알키미스타|서울 은평구 응암로9길 24 1층|매일 10:00 ~ 24:00|02-6104-5803
온도차|서울 은평구 녹번로 74 1층|월~금 11:00 ~ 18:00|070-8861-6622
823m|서울 은평구 연서로29길 21-9 1층|매일 12:00 ~ 24:00|02-2088-1823
스타벅스 진관DT점|서울 은평구 연서로 645|월,화,수,목,금,일 07:00 ~ 21:00|
스타벅스 불광역점|서울 은평구 통일로 715 1층|매일 07:00 ~ 22:00|1522-3232
명금탕|서울 은평구 진관길 5 1층|매일 11:00 ~ 21:00|02-739-0394
스타벅스 새절역점|서울 은평구 증산로 371|목 07:00 ~ 21:30|1522-3232
스타벅스 구파발역점|서울 은평구 진관2로 12 메이플카운티 2차 113~116호|매일 07:00 ~ 22:00|1522-3232
카페메이트|서울 은평구 진흥로 85 1,2층|매일 10:00 ~ 21:00|02-356-7972
북한산큰숲제빵소|서울 은평구 북한산로 271-3|월~토 10:00 ~ 22:00|02-2267-9001
이일삼점|서울 은평구 응암로21가길 27 1층|월,수,목,금 09:00 ~ 20:00|02-356-7312
스타벅스 연신내역사거리점|서울 은평구 통일로 842|매일 07:00 ~ 22:00|1522-3232
폴스타베이커스|서울 은평구 서오릉로 256 1~3층|매일 10:30 ~ 21:50|02-6941-0256
플럽커피|서울 은평구 연서로29길 7-11 3층|매일 12:00 ~ 22:00|
커피생각|서울 은평구 불광천길 420 1층|월,화,목,금,토,일 10:00 ~ 21:30|02-302-1400
탐나도다|서울 은평구 통일로83길 5-14|월~토 11:30 ~ 22:00|02-384-9292
카페볼가심|서울 은평구 진관길 10|매일 10:00 ~ 21:00|
선과점|서울 은평구 갈현로7가길 11 1층|목,금요일|
스타벅스 연신내점|서울 은평구 통일로 867|월~금 07:30 ~ 22:00|1522-3232
스타벅스 구산역점|서울 은평구 연서로 146|매일 07:00 ~ 22:00|1522-3232
코피티암|서울 은평구 연서로27길 7-1 1,2층|매일 11:00 ~ 21:00|070-7738-7788
할리스 연신내점|서울 은평구 연서로 212 1~3층|월~금 08:30 ~ 24:00|02-388-3977
로즈드마이|서울 은평구 가좌로 192 상가 1층|월~금 09:00 ~ 23:00|02-303-4670
파브스커피로스터스|서울 은평구 증산로15가길 15 1층|월~토 10:00 ~ 20:00|070-7755-6164
치즈당|서울 은평구 통일로83길 5-4 1층|월,화,수,목,금,일 11:00 ~ 22:00|02-356-8305
투썸플레이스 은평구청점|서울 은평구 은평로 194 더위일 1,2층 103,205호|매일 08:00 ~ 22:30|02-352-1433
지브릭커피 본점|서울 은평구 연서로48길 12 513동 상가 101호|월~금 09:00 ~ 21:00|02-517-1474
제이츠커피브루어스|서울 은평구 연서로25길 20-3 1층|월~토 12:00 ~ 23:00|070-8822-3375
와이엠에스프레소룸|서울 은평구 진관3로 67 래미안9단지 상가동 1층 101호|매일 09:00 ~ 21:00|070-7767-0829
스타벅스 녹번역점|서울 은평구 통일로 636 은평미드스퀘어 110~115호|매일 08:00 ~ 21:00|1522-3232
스타벅스 구파발사거리점|서울 은평구 진관3로 21 은평엘크루 101동 105-108호|매일 07:00 ~ 22:00|1522-3232
세라젬웰카페 은평뉴타운점|서울 은평구 진관2로 15-34 1층|매일 11:00 ~ 20:00|02-6954-7315
스타벅스 수색점|서울 은평구 수색로 216 1층|월~금 07:30 ~ 21:00|1522-3232
투썸플레이스 연신내엘피스점|서울 은평구 통일로 829 1, 2층|매일 09:00 ~ 22:00|02-383-5925
탐스커버리 DMC탐스커버리점|서울 은평구 수색로 195 1,2층|매일 00:00 ~ 24:00|02-6925-0108
스위츠마인|서울 은평구 은평로3길 24 제이엠뷰 1층|목~일 13:00 ~ 21:00|010-6681-9891
투썸플레이스 연신내점|서울 은평구 연서로 223 2,3층|매일 09:00 ~ 23:00|02-356-8883
투썸플레이스 은평이마트점|서울 은평구 은평로 114 1층|매일 08:00 ~ 22:00|02-353-8585
카페와인드|서울 은평구 응암로34가길 17|매일 10:00 ~ 22:00|
빽다방 빵연구소 북한산성점|서울 은평구 대서문길 23|매일 09:00 ~ 20:30|02-352-1202
투썸플레이스 구산역점|서울 은평구 서오릉로 165 1층 104~106호|월~금 07:00 ~ 22:30|02-2135-6993
투썸플레이스 은평한옥마을점|서울 은평구 진관길 7 1,2층|월~토 08:30 ~ 22:00|
카페 쓸|서울 은평구 통일로 684|목요일|010-5066-3954
할리스 북한산DI점|서울 은평구 북한산로 248-8 1,2층|매일 09:00 ~ 22:00|02-3157-4843
투썸플레이스 은평뉴타운점|서울 은평구 진관3로 20 SW메디컬빌딩 1,2층|월~금 08:00 ~ 22:00|02-356-5977
메가MGC커피 연신내역점|서울 은평구 통일로 855-15 1층|월~토 08:00 ~ 23:00|02-353-6051
개상전애견카페|서울 은평구 통일로 727-5 3층|월~금 11:00 ~ 21:00|070-4404-1212
카페달력|서울 은평구 연서로18길 28-2 1층|매일 12:00 ~ 21:00|070-7376-0910
커피빈 응암동점|서울 은평구 은평로 121 메디컬빌딩|월~토 08:00 ~ 22:00|02-389-6283
커피디지 응암본점|서울 은평구 갈현로1길 16-1|매일 10:00 ~ 23:00|02-6084-0095
엔제리너스 불광역점|서울 은평구 통일로 741 신흥빌딩 1층|매일 00:00 ~ 22:30|02-389-9571
