카페명|주소|영업시간|전화번호
어니언 안국|서울 종로구 계동길 5|월~금 07:00 ~ 22:00|070-7543-2123
노티드 안국|서울 종로구 북촌로 6-3 1층|매일 10:00 ~ 21:00|070-7755-9377
블루보틀 삼청 카페|서울 종로구 북촌로5길 76 1~3층|월~금 09:00 ~ 20:00|1533-6906
테라로사 광화문점|서울 종로구 종로1길 50 더케이트윈타워 B동 1층|월~금 07:30 ~ 21:00|1668-2764
포비 광화문점|서울 종로구 종로3길 17 광화문D타워 1층 21호|월~금 07:30 ~ 21:30|02-2251-8125
산모퉁이|서울 종로구 백석동길 153|매일 11:00 ~ 20:50|02-391-4737
차마시는 뜰|서울 종로구 북촌로11나길 26 1층|화~일 11:00 ~ 21:00|02-722-7006
스태픽스|서울 종로구 사직로9길 22 1층 102호|매일 10:00 ~ 21:00|0507-1341-2055
아키비스트|서울 종로구 효자로13길 52 1층|매일 11:00 ~ 21:00|02-738-1517
프릳츠 원서점|서울 종로구 율곡로 83 1층|매일 10:00 ~ 19:30|02-747-8101
학림다방|서울 종로구 대학로 119 2층|매일 10:00 ~ 22:50|02-742-2877
카페레이어드 안국점|서울 종로구 북촌로2길 2-3|월~금 08:00 ~ 22:00|
나무사이로|서울 종로구 사직로8길 21 1층|월~금 09:00 ~ 21:00|070-7590-0885
개뿔|서울 종로구 낙산성곽서1길 26 1,2층|매일 10:00 ~ 22:00|02-765-2019
도트블랭킷|서울 종로구 윤보선길 22 1층|월,화,수,목,금,일 10:00 ~ 20:00|0507-1431-2226
포비브라이트 광화문점|서울 종로구 새문안로 76 콘코디언빌딩 1층|월~금 07:30 ~ 20:30|02-6744-0120
청수당 베이커리|서울 종로구 돈화문로11나길 31-9|매일 10:30 ~ 21:00|
부빙|서울 종로구 창의문로 136|수~일 13:00 ~ 19:30|02-394-8288
카페 하이웨스트 익선점|서울 종로구 돈화문로11다길 18|매일 09:00 ~ 22:00|
반쥴|서울 종로구 삼일대로17길 23 3~5층|월~금 11:30 ~ 22:20|02-735-5437
카페이마|서울 종로구 세종대로 152 일민미술관 1층|월~금 11:00 ~ 19:00|02-2020-2088
라카페갤러리|서울 종로구 자하문로10길 28 1층|화~일 11:00 ~ 21:00|02-379-1975
결|서울 종로구 우정국로 26 센트로폴리스 1층|월~금 07:30 ~ 20:30|02-6370-5840
밀크홀1937 종로점|서울 종로구 종로 86-1 1~5층|월~금 07:30 ~ 23:00|070-8801-1937
