카페명|주소|영업시간|전화번호
더스팟 패뷸러스|서울 중구 명동2길 22 1,2층|매일 10:00 ~ 22:30|02-779-1981
덕수궁 리에제와플|서울 중구 덕수궁길 5 1층|월~금 08:00 ~ 21:30|02-318-5202
더하우스1932|서울 중구 만리재로35길 7||02-365-1932
호랑이|서울 중구 을지로 157 대림상가 3층 라열 351호|화~토 11:00 ~ 18:00|02-2269-5880
커피루소 정동점|서울 중구 정동길 17 이화정동빌딩 1, 2층|월~금 08:00 ~ 20:00|02-772-9935
커피한약방|서울 중구 삼일대로12길 16-6 1층|월~금 10:00 ~ 22:00|070-4148-4242
커피앤시가렛|서울 중구 서소문로 116 유원빌딩 17층|월~금 08:30 ~ 21:00|02-777-7557
적당|서울 중구 을지로 29 1층|매일 10:00 ~ 21:30|070-7543-8928
리사르커피로스터스 약수점|서울 중구 다산로8길 16-7 1층|영업시간 월~토 07:00 ~ 15:30|070-7778-5538
챔프커피 제3작업실|서울 중구 을지로 157 대림상가 라열 3층 381호|매일 11:30 ~ 20:00|010-8943-4516
혜민당|서울 중구 삼일대로12길 16-9 1층|월~금 10:00 ~ 22:00|070-8833-4242
포엠|서울 중구 명동4길 13 2층|매일 11:00 ~ 23:00|02-776-5003
러시아케이크|서울 중구 을지로42길 7 1층|화~일 12:00 ~ 20:00|02-6053-4079
심세정|서울 중구 퇴계로 409-11 1층|매일 09:00 ~ 22:00|070-8823-7577
수잔나의앞치마|서울 중구 퇴계로49길 24|매일 07:00 ~ 22:00|02-2272-8007
코인 명동점|서울 중구 명동6길 10|월~토 10:00 ~ 22:30|02-753-1667
마뫼|서울 중구 소파로 41 1층|매일 11:00 ~ 22:00|
르풀|서울 중구 정동길 33|월~금 10:00 ~ 20:00|02-3789-0400
커피스니퍼|서울 중구 세종대로16길 27 남양빌딩 1층 102호|월~금 08:00 ~ 20:00|02-3789-1781
홍만당 명동본점|서울 중구 명동8길 11-6 1층|매일 11:00 ~ 21:00|02-777-4422
몰또 이탈리안 에스프레소바 앤 테라스|서울 중구 명동길 73 3층|월~토 11:30 ~ 19:30|02-778-7779
라운드앤드|서울 중구 정동길 35 1층|매일 08:00 ~ 22:00|
을지빈|서울 중구 을지로14길 21 2층|월~금 12:00 ~ 22:00|02-2278-8818
섬광|서울 중구 창경궁로1길 38 5층|월~토 12:00 ~ 23:00|070-8866-8485
노티드 종각 하이커|서울 중구 청계천로 40 한국관광공사 서울센터 5층|매일 09:00 ~ 20:00|070-4205-0080
커피그래|서울 중구 동호로 204 청화빌딩 1층 102호|월~금 08:00 ~ 23:00|0507-1348-1256
카페 아포테케리|서울 중구 퇴계로 409-9|화~토 12:00 ~ 21:50|02-2236-8987
분카샤 을지로점|서울 중구 을지로14길 20 2층|매일 10:00 ~ 23:00|02-2269-6947
죠지서울|서울 중구 을지로12길 6 한일빌딩 302호|매일 12:00 ~ 22:00|010-6208-6326
명동양과|서울 중구 명동9길 23 한양빌딩 1,2층 101호|월~금 08:00 ~ 22:30|02-771-2288
스타벅스 환구단점|서울 중구 소공로 112 반도조선아케이드|월~금 07:00 ~ 22:00|1522-3232
카페피크닉|서울 중구 퇴계로6가길 30 1층 102호|화~일 10:00 ~ 18:00|070-8821-6374
고양이놀이터 명동점|서울 중구 명동8길 37-14 3층|매일 12:00 ~ 23:00|
루프트 명동점|서울 중구 삼일대로 308 조양빌딩 본관 1층|월~금 07:30 ~ 18:30|02-2267-2233
포비 을지로점|서울 중구 청계천로 100 시그니처 타워 1층|월~금 07:30 ~ 21:00|02-6020-0880
호텔수선화|서울 중구 충무로7길 17 4층 401호|매일 12:00 ~ 24:00|070-8950-2649
커피사|서울 중구 을지로 142-1 3층|월~금 11:30 ~ 21:00|02-2274-2780
가무|서울 중구 명동4길 16 2,3,4층|매일 11:00 ~ 23:00|02-776-3141
mwm|서울 중구 수표로 35-1 4층|수~일 12:00 ~ 20:00|
바캉스커피|서울 중구 남대문로9길 12 나전빌딩 9층|화~금 12:00 ~ 21:30|070-8803-2326
브릭하우스|서울 중구 퇴계로 456 1,2층|월~금 08:00 ~ 23:00|02-2231-1606
피어커피 광희문점|서울 중구 청구로 123 1,2층|월~금 08:30 ~ 18:30|070-4154-1464
커피리브레 명동성당점|서울 중구 명동길 80 1층 102호|월~금 10:00 ~ 19:00|02-774-0615
스타벅스 동대문공원점|서울 중구 장충단로 229 1,2층|월~금 07:00 ~ 22:00|1522-3232
헤베커피|서울 중구 필동로 32 낙원빌딩 1층|월~금 11:00 ~ 21:00|
콘드에뻬뻬|서울 중구 장충단로8길 21 1층|목요일|
계단집|서울 중구 퇴계로6길 35|화~일 10:00 ~ 20:00|070-4419-7776
을지로베로나|서울 중구 충무로5길 24 은광빌딩 3층|매일 12:00 ~ 22:00|02-2266-0525
카페드페소니아|서울 중구 을지로 281 DDP 아트홀 1층|매일 09:00 ~ 21:00|02-2153-0777
노띵커피|서울 중구 퇴계로50길 33-2 1층|1/18(목)|02-303-7404
전광수커피하우스 정동점|서울 중구 정동길 39|월~토 08:00 ~ 21:00|02-752-0289
카페라그린|서울 중구 정동길 26 1층|월~토 11:00 ~ 20:00|02-3789-8005
는커피|서울 중구 청구로4길 19 1층|월~금 08:30 ~ 19:30|02-2246-1212
로이터 커피셸터|서울 중구 필동로 53 라비두스 별관 3층|월,화,수,목,일 11:00 ~ 21:00|
카페느티|서울 중구 을지로 97 1~5층|월~금 07:30 ~ 22:00|02-2261-3323
을지다방|서울 중구 을지로 124-1 2층|월~토 08:00 ~ 20:00|02-2272-1886
스타벅스 서울역사점|서울 중구 한강대로 405 101호|매일 06:30 ~ 22:00|1522-3232
씨디티(CDT)|서울 중구 동호로14길 23 1층|화~일 12:00 ~ 23:00|010-6496-7425
롯데호텔서울 페닌슐라 라운지&바|서울 중구 을지로 30 본관 1층|매일 08:00 ~ 01:00|02-317-7131
케이코쇼텐|서울 중구 퇴계로24길 12-1 1,2층|월~금 09:30 ~ 20:00|0507-1414-6277
블루보틀 명동 카페|서울 중구 명동길 14 1층|매일 08:00 ~ 21:00|1533-6906
온더플랜커피랩|서울 중구 퇴계로 202 풍산빌딩 1층|월~금 08:00 ~ 23:00|02-2268-7080
알렉스룸|서울 중구 을지로18길 8 2층|월~토 12:00 ~ 22:00|070-8844-1513
코인 명동2호점|서울 중구 명동9길 29 2,3층|매일 10:00 ~ 23:00|02-754-1506
4F카페|서울 중구 을지로35길 26-1 1층|매일 11:00 ~ 22:00|02-2276-1092
리사르 명동점|서울 중구 명동8가길 58 1층|월~토 10:00 ~ 18:30|
어반플랜트 명동|서울 중구 명동8나길 38 1층|매일 10:00 ~ 22:00|010-3823-1531
스타벅스 신당역사거리점|서울 중구 다산로 258|월~금 07:00 ~ 23:00|1522-3232
커피앳웍스 센터원점|서울 중구 을지로5길 26 미래에셋 센터원 빌딩 1층|월~금 07:00 ~ 22:00|02-6030-8939
산다미아노|서울 중구 정동길 9 1층|월~토 09:00 ~ 21:00|02-6364-2233
스타벅스 별다방점|서울 중구 퇴계로 100|월~금 07:00 ~ 22:00|1522-3232
설빙 동대문점|서울 중구 을지로 254 타임캐슬 오피스텔 2층 201호|월,화,수,목,일 11:00 ~ 23:00|02-2276-0992
메일룸|서울 중구 퇴계로83길 10-7 1~3층|매일 10:00 ~ 21:30|070-4640-7019
오뷔르베이커리|서울 중구 마른내로2길 17 성신빌딩 1,2층|월~금 08:00 ~ 22:00|0507-1475-0624
맷차 명동본점|서울 중구 명동9길 17 1~6층|월~금 10:00 ~ 22:00|02-6952-4170
카페마마스 시청점|서울 중구 무교로 16 체육회관빌딩 1층|화~금 08:00 ~ 20:00|02-318-1230
스타벅스 국립중앙의료원점|서울 중구 을지로 251|월~금 07:00 ~ 23:00|1522-3232
