카페명|주소|영업시간|전화번호
맥심플랜트|서울 용산구 이태원로 250|매일 10:00 ~ 22:00|070-4287-8557
앤트러사이트 한남점|서울 용산구 이태원로 240 1~3층|월~금 08:30 ~ 22:00|02-797-7508
오츠커피|서울 용산구 원효로89길 13-12|월~금 11:00 ~ 20:00|
동빙고|서울 용산구 이촌로 319|매일 10:30 ~ 22:00|02-794-7171
테라로사 한남점|서울 용산구 이태원로36길 15 카프리빌딩 1층|매일 09:00 ~ 21:00|033-648-2760
오아시스 한남점|서울 용산구 이태원로45길 30 1,2층|월~토 09:00 ~ 20:00|02-790-8906
콩카페 이태원점|서울 용산구 녹사평대로 168-8 1,2층|월~토 11:00 ~ 22:00|
인바이티드|서울 용산구 한강대로52길 41|매일 11:00 ~ 22:00|02-794-3332
엔다이브한남|서울 용산구 이태원로54길 52-2 1층|매일 12:00 ~ 22:00|02-794-3334
르몽블랑|서울 용산구 신흥로 99-4|화~일 12:00 ~ 20:00|02-774-3793
더로열푸드앤드링크|서울 용산구 신흥로20길 37 1층|2024년 1월 15일 ~ 2024년 2월 2일 휴무|070-7774-4168
써머레인|서울 용산구 이태원로55가길 49 1층|매일 07:30 ~ 18:00|02-792-8114
챔프커피 2작업실|서울 용산구 녹사평대로26가길 24 1층|매일 09:00 ~ 20:30|02-790-4516
트래버틴|서울 용산구 한강대로7길 18-7|매일 11:00 ~ 20:30|070-8862-6003
엘카페커피로스터스|서울 용산구 후암로 68 지하1층 1호|영업시간 화~금 11:00 ~ 17:00|070-8269-0715
도토리 베이커리카페 신용산점|서울 용산구 한강대로52길 25-6 1층|매일 09:00 ~ 23:00|02-797-0225
레인리포트|서울 용산구 소월로40길 85 1,2층|매일 11:30 ~ 21:20|
카키바움|서울 용산구 한강대로52길 29 1~3층|월~토 10:00 ~ 22:00|02-790-6275
북파크라운지|서울 용산구 이태원로 294 블루스퀘어 3층|화~일 11:00 ~ 21:00|070-7770-0539
키에리 이태원점|서울 용산구 이태원로26길 16-8 1층|월,목,금,토,일 13:00 ~ 20:00|
