카페명|주소|영업시간|전화번호
블루보틀 성수 카페|서울 성동구 아차산로 7|매일 08:00 ~ 20:30|1533-6906
할아버지공장|서울 성동구 성수이로7가길 9|매일 11:00 ~ 22:00|010-3934-2301
쎈느|서울 성동구 연무장5길 20 1,2층|월~토 10:00 ~ 22:00|02-469-2122
어니언 성수|서울 성동구 아차산로9길 8 1,2층|월~금 08:00 ~ 22:00|070-4353-3238
대림창고|서울 성동구 성수이로 78|매일 11:00 ~ 22:00|02-499-9669
로우키|서울 성동구 연무장3길 6|월~금 10:00 ~ 20:00|
센터커피 서울숲점|서울 성동구 서울숲2길 28-11 1층|화~일 10:00 ~ 21:00|070-8868-2008
인더매스 마장|서울 성동구 마장로 270 1층|매일 09:00 ~ 21:00|02-6084-8996
로우커피스탠드|서울 성동구 왕십리로4길 28-2 1층|영업시간 월~금 08:00 ~ 17:00|010-4334-2387
옹근달|서울 성동구 성수이로7길 41-1 1, 2층|매일 11:00 ~ 23:00|02-499-5012
마를리|서울 성동구 연무장길 47 홍원빌딩 1층|매일 09:00 ~ 23:00|02-467-0303
5TO7|서울 성동구 서울숲2길 44-13 1, 2|매일 11:00 ~ 22:00|0507-1333-7616
카페포제|서울 성동구 연무장9길 7 1층|매일 11:00 ~ 22:00|070-8830-5994
치카성수|서울 성동구 뚝섬로1가길 14 1층|수~토 12:00 ~ 19:00|02-498-3478
갈십리|서울 성동구 마조로 15-11 1,2층|매일 12:00 ~ 22:30|010-8698-3000
카페&펍 연무장|서울 성동구 연무장길 36 8층|매일 11:00 ~ 24:00|
아우프글렛 금호점|서울 성동구 독서당로51길 7 1층|수~일 12:00 ~ 20:00|
카멜 성수점|서울 성동구 성덕정19길 6|매일 11:00 ~ 20:00|
도렐 육지3호점|서울 성동구 연무장7길 11 1층|월~금 08:00 ~ 21:00|
체다앤올리|서울 성동구 서울숲2길 32-14 1층|월~금 11:00 ~ 21:00|02-468-1003
서울앵무새|서울 성동구 서울숲9길 3 지하1 ~ 2층|매일 08:00 ~ 23:00|070-8846-2025
글로우|서울 성동구 아차산로9길 20 1층|월~금 09:00 ~ 22:00|
슈퍼말차 성수|서울 성동구 서울숲6길 19 1층|매일 11:00 ~ 21:00|070-4632-3882
하루&원데이|서울 성동구 아차산로 92 광명타워 1층 103호|월~금 08:00 ~ 22:30|02-499-9303
훔볼트|서울 성동구 성수이로 58 P타워 지하 1층, 1, 2층|월~금 08:00 ~ 22:00|
어라운드데이|서울 성동구 서울숲2길 24-1|월,화,수,목,일 11:00 ~ 20:00|0507-1431-8310
레인리포트 크루아상|서울 성동구 성수이로16길 32 1,2층|매일 11:00 ~ 22:00|0507-1373-1322
누데이크 성수|서울 성동구 성수이로7길 26 1층|매일 11:00 ~ 21:00|070-4128-4408
뜨아아아커피집|서울 성동구 고산자로12길 1-1|매일 10:00 ~ 22:00|
커피오스|서울 성동구 성수일로4길 31-1 1층|월~금 07:30 ~ 20:00|02-468-7140
업사이드커피 뚝섬점|서울 성동구 왕십리로14길 19-1 1층|월~금 08:00 ~ 19:00|
오우드 성수1호점|서울 성동구 연무장길 101-1 B동 1층|매일 11:00 ~ 22:00|070-8844-0196
브루잉세레모니|서울 성동구 연무장5가길 22-1 1층|월~토 11:00 ~ 21:00|
테디스오븐|서울 성동구 서울숲2길 43 1층|매일 11:00 ~ 22:00|070-4900-1100
봉순이네다락방|서울 성동구 왕십리로21길 13-1 지하1~2층|월~금 14:00 ~ 22:00|02-2299-8057
소소하게 성수점|서울 성동구 성덕정길 27 1층|화~토 11:00 ~ 20:00|02-465-5554
플디 성수점|서울 성동구 상원길 44 2층|매일 12:00 ~ 20:00|
스타벅스 성수역점|서울 성동구 성수이로 94|월~금 07:00 ~ 22:00|1522-3232
피치스 도원|서울 성동구 연무장3길 9 1층|매일 11:00 ~ 21:00|02-468-7719
메쉬커피|서울 성동구 서울숲길 43|영업시간 월~금 08:30 ~ 17:00|02-464-7078
카페온화 성수점|서울 성동구 아차산로 78 1층|매일 11:00 ~ 22:00|
피어커피 성수|서울 성동구 광나루로4가길 24 1층|영업시간 월~금 09:30 ~ 17:30|02-474-1464
스타벅스 왕십리역|서울 성동구 왕십리로 326|월~토 07:00 ~ 22:00|1522-3232
프롬하츠커피 성동구청점|서울 성동구 고산자로 253|매일 08:00 ~ 23:00|0507-1317-1152
비엔나커피하우스 서울숲역점|서울 성동구 왕십리로 66 1층|월~금 08:00 ~ 22:00|070-4628-5049
마크69|서울 성동구 서울숲길 24|매일 11:00 ~ 22:00|
천상가옥|서울 성동구 성수이로14길 14 3층|매일 11:00 ~ 22:00|
나인헤르츠|서울 성동구 왕십리로 285 1,2층|매일 09:00 ~ 23:30|
칸토|서울 성동구 연무장길 20 지하1층|매일 11:00 ~ 21:00|010-8386-3657
카멜커피 7호점|서울 성동구 서울숲7길 4|영업시간 매일 09:00 ~ 17:00|010-7906-0440
RSG|서울 성동구 연무장15길 11 에스팩토리 C동 1층 109,110호|매일 11:00 ~ 02:00|
아이오쓰리 성수사거리점|서울 성동구 성수이로20길 60 1층|월~금 08:00 ~ 19:30|02-497-1961
맛차차|서울 성동구 서울숲2길 18-11 1층|수~일 11:00 ~ 19:00|010-9719-8707
묘사서울|서울 성동구 서울숲2길 2 2층|매일 12:00 ~ 22:00|
모리티아|서울 성동구 아차산로5길 10 1층|월~금 08:00 ~ 19:00|02-460-8733
파머스카페|서울 성동구 왕십리로6길 11 1층|월~금 11:00 ~ 24:00|02-464-4222
무신사 테라스 성수|서울 성동구 아차산로 104 3층|월~금 08:00 ~ 21:00|
스타벅스 서울숲역|서울 성동구 왕십리로 50 메가박스 스퀘어 1층|매일 07:00 ~ 22:00|1522-3232
스타벅스 뚝섬역|서울 성동구 아차산로 42|매일 07:00 ~ 22:00|1522-3232
송정커피|서울 성동구 송정길 82-3 1,2층|매일 11:00 ~ 21:00|010-2064-8588
브라운팟|서울 성동구 무학봉28길 16 1층|매일 10:00 ~ 22:00|02-2299-2201
디플랫 성수|서울 성동구 연무장길 90 1층|매일 11:30 ~ 22:00|02-466-2560
카페스밍스튜디오|서울 성동구 뚝섬로 317 1층|매일 10:00 ~ 19:00|02-6463-0779
유유커피|서울 성동구 마조로11길 7 1층|매일 11:00 ~ 23:30|
로와이드|서울 성동구 서울숲2길 22-1 1층|월~금 10:00 ~ 20:00|
