카페명|주소|영업시간|전화번호
도우터|서울 광진구 아차산로31길 40 1층|월~금 11:00 ~ 22:30|02-464-0559
체리커피|서울 광진구 능동로 284 1층 체리커피|매일 10:30 ~ 23:30|02-444-7222
뚝방길홍차가게|서울 광진구 자양강변길 277 1층|월,수,목,금,토,일 12:00 ~ 20:00|02-512-0189
더이퀼리브리엄커피|서울 광진구 아차산로30길 7 3층|매일 11:00 ~ 22:00|010-5255-6073
아르무아|서울 광진구 동일로22길 117-27 1,2층|매일 12:00 ~ 23:00|02-463-9981
헤르츠커피로스팅|서울 광진구 능동로 334 경남빌딩 1층|화~일 09:00 ~ 21:00|010-3312-9952
마우스래빗|서울 광진구 능동로11길 10|매일 12:00 ~ 23:00|02-462-4015
카페히릿|서울 광진구 광나루로 404 3층|매일 12:00 ~ 22:00|070-8870-4442
넥스트에디션 건대2호점|서울 광진구 아차산로 192 별관 2,3층|매일 10:30 ~ 24:00|0507-417-8580
비에이치테이블|서울 광진구 아차산로45길 16 1층|수~금 10:00 ~ 19:00|
해피니스디저트 건대점|서울 광진구 아차산로30길 31 1층|매일 12:00 ~ 23:00|010-4295-2600
시드누아 중곡센터점|서울 광진구 천호대로127길 44|매일 11:00 ~ 19:00|02-446-8115
도쿄빙수 건대직영점|서울 광진구 아차산로31길 45 1층 101호|매일 12:00 ~ 22:00|02-466-2012
카페호이 자양점|서울 광진구 동일로20길 80 1,2층|화~일 11:00 ~ 23:30|02-466-8158
아오스요거트|서울 광진구 능동로 153 1층|월~금 09:00 ~ 21:00|070-8111-9451
라운드브릭|서울 광진구 광장로 67 1층|월~금 11:00 ~ 20:00|
스타벅스 구의DT|서울 광진구 광나루로 519|월,화,수,목,일 07:00 ~ 22:00|1522-3232
옥루몽 어린이대공원점|서울 광진구 능동로 183 1층|매일 11:00 ~ 23:00|02-466-9700
미어캣족장|서울 광진구 동일로20길 72 3층|월~금 13:00 ~ 21:30|
커피마켓|서울 광진구 아차산로33길 60|목 10:00 ~ 23:00|02-463-8009
보난자커피 군자점|서울 광진구 능동로 239 B동 1층|매일 09:00 ~ 22:00|070-4110-3113
델트|서울 광진구 광나루로54길 83 1층 102호|영업시간 월~금 07:30 ~ 17:00|0507-1355-4461
카페레디언트|서울 광진구 능동로38길 41 101호|월~금 08:00 ~ 22:00|02-2201-0204
안다미로 팬케이크 건대점|서울 광진구 아차산로25길 8 2층|매일 13:00 ~ 22:00|02-6405-7773
건대커피랩|서울 광진구 동일로22길 102|월~금 10:00 ~ 22:30|02-497-7725
스타벅스 군자역점|서울 광진구 천호대로 548|월~토 07:00 ~ 23:00|1522-3232
랑데자뷰 건대점|서울 광진구 아차산로31길 3|매일 10:30 ~ 23:00|070-7718-3088
설빙 서울건대지점|서울 광진구 아차산로 225 단산화빌딩 2층|매일 11:00 ~ 22:30|02-499-5385
그리네|서울 광진구 군자로 139 1층|매일 10:00 ~ 24:00|
꼬메노|서울 광진구 군자로7길 29|매일 13:00 ~ 22:30|02-468-5177
엑스케이프|서울 광진구 동일로 112 지하1층|매일 10:00 ~ 24:00|02-463-9366
스타벅스 아차산역|서울 광진구 천호대로 676|월~금 07:00 ~ 22:00|1522-3232
스타벅스 어린이대공원역|서울 광진구 능동로 243|월~금 07:00 ~ 20:00|1522-3232
플라이팬커피|서울 광진구 능동로3길 14|매일 08:00 ~ 23:00|
투썸플레이스 건대입구점|서울 광진구 능동로13길 5 1,2층|매일 08:00 ~ 23:00|02-461-2234
솔버 건대1호점|서울 광진구 아차산로 201 지하1층||02-498-3737
