카페명|주소|영업시간|전화번호
망우로30|서울 동대문구 망우로 30-1 1층|매일 11:00 ~ 22:00|010-3380-2386
민들레영토 경희대점|서울 동대문구 경희대로1길 34|화~일 11:00 ~ 22:00|02-959-3733
커피나인 본점|서울 동대문구 전농로3길 12 1층|매일 08:30 ~ 21:00|02-6396-9992
컴플리트커피|서울 동대문구 천장산로7길 19|월~금 08:00 ~ 23:00|070-8873-0419
오앤디|서울 동대문구 망우로12가길 17 1층|월,수,목,금,토,일 11:00 ~ 21:00|010-3441-3675
베러댄|서울 동대문구 망우로 34 진성빌딩 1층|매일 11:00 ~ 21:00|
스타벅스 경동1960점|서울 동대문구 고산자로36길 3 경동시장 본관 3,4층|월~목 09:00 ~ 21:30|1522-3232
키라쿠|서울 동대문구 약령시로 5-1 아이리스빌딩 1층|월~금 10:30 ~ 22:00|
대즐링|서울 동대문구 안암로 132 1층|월~금 12:00 ~ 22:00|070-763-9394
너디블루|서울 동대문구 전농로36길 9 1,2층 1,2호|매일 12:00 ~ 23:30|0507-1421-1310
크레이저커피 경희대점|서울 동대문구 경희대로4길 44 1층|매일 12:00 ~ 21:00|02-969-9525
스타벅스 답십리역점|서울 동대문구 천호대로 263|월~금 07:00 ~ 22:30|1522-3232
스타벅스 회기역사거리점|서울 동대문구 이문로 37 회기 한일 베라체캠퍼스 1층|월~금 07:00 ~ 22:00|1522-3232
스타벅스 장한평역점|서울 동대문구 장한로 10|월~금 07:00 ~ 23:00|1522-3232
한시십일분|서울 동대문구 망우로 66 지하1층|화~일 13:00 ~ 23:00|
스타벅스 신설동역점|서울 동대문구 왕산로 19|월~금 07:00 ~ 21:30|1522-3232
카페양귀비|서울 동대문구 이문로9길 8 1층|매일 12:00 ~ 22:00|
더크림|서울 동대문구 장한로28길 18 1층|월~금 08:00 ~ 22:00|070-4065-7313
8번가|서울 동대문구 경희대로3길 8|매일 10:00 ~ 22:00|
스타벅스 청량리역사점|서울 동대문구 왕산로 214 6층|월,화,수,목,금,일 08:00 ~ 22:00|1522-3232
커피블랑|서울 동대문구 회기로19길 16|매일 11:00 ~ 23:00|010-2717-7316
비하인드미|서울 동대문구 회기로 125|매일 10:00 ~ 21:00|
카페파인|서울 동대문구 안암로22길 15 형준빌딩 1, 2층|매일 11:00 ~ 22:00|
투썸플레이스 장안점|서울 동대문구 장한로 73 1층|월~금 07:00 ~ 24:00|02-2212-1780
온니당 본점|서울 동대문구 답십리로63길 125 1층|화~토 11:30 ~ 20:00|010-4450-9715
디어테이블|서울 동대문구 답십리로72길 68|매일 09:00 ~ 23:00|
스타벅스 경희대점|서울 동대문구 경희대로 16-1|월~토 07:00 ~ 21:00|1522-3232
스타벅스 경희대삼거리점|서울 동대문구 회기로 141|목,금 08:00 ~ 20:30|1522-3232
너만보여크루아상|서울 동대문구 망우로21길 63 1층|매일 11:00 ~ 20:00|02-6325-0964
프롬하츠커피 용두점|서울 동대문구 왕산로 71 1층|월~금 08:00 ~ 23:00|0507-1430-2249
스윗오브유|서울 동대문구 답십리로 292-3 상가 1층 101호|매일 11:00 ~ 22:00|010-4647-4464
설빙 서울동대문장안점|서울 동대문구 답십리로 300 2층 201호|매일 10:00 ~ 23:00|02-2214-7781
빈칸|서울 동대문구 망우로21길 52 1층|매일 09:30 ~ 23:30|02-1577-5886
카페시사|서울 동대문구 전농로 217 1층|매일 09:00 ~ 22:00|
투썸플레이스 장안동사거리점|서울 동대문구 답십리로 273 한양빌딩 1층|매일 08:00 ~ 22:20|02-2212-9027
참다정|서울 동대문구 약령중앙로 26 서울한방진흥센터 1층|매일 09:00 ~ 19:00|02-960-0360
투썸플레이스 답십리점|서울 동대문구 고미술로 81 1층|매일 08:00 ~ 22:30|070-7554-5045
설빙 서울회기점|서울 동대문구 회기로 193 2층|월,수,목,금,토,일 11:00 ~ 23:30|02-960-4342
고소운|서울 동대문구 휘경로2길 4 지하1층|월~금 12:00 ~ 21:30|
투썸플레이스 제기동역점|서울 동대문구 왕산로 91 메트로폴스위트 1층 101호|매일 08:00 ~ 21:30|02-928-9900
스타벅스 외대점|서울 동대문구 휘경로 12-1|월~금 08:00 ~ 19:00|1522-3232
아임파이 외대점|서울 동대문구 휘경로2길 39 1층|월~토 12:00 ~ 21:30|070-4274-1182
세라젬웰카페 서울답십리직영점|서울 동대문구 사가정로 80 1층 104~107호|매일 11:00 ~ 20:00|02-6952-1825
스타벅스 외대정문점|서울 동대문구 이문로 93|월~금 08:00 ~ 21:00|1522-3232
투썸플레이스 휘경점|서울 동대문구 망우로 86 1~2층|월~금 07:00 ~ 23:00|02-2039-6288
그대쉴꽃|서울 동대문구 회기로19길 6 1,2층|매일 12:00 ~ 23:00|02-966-0813
베브릿지 한국외대점|서울 동대문구 휘경로 4-10 1층|월~금 08:00 ~ 23:00|070-8252-5661
카페 트위그|서울 동대문구 한천로 10 1층|월~금 09:00 ~ 18:00|02-6953-8892
에이바우트커피 경희대점|서울 동대문구 경희대로3길 28 1층|매일 07:30 ~ 22:00|02-966-2666
메가MGC커피 신설동점|서울 동대문구 왕산로 3 1층|월~금 07:30 ~ 21:30|02-929-9294
투썸플레이스 경희대점|서울 동대문구 경희대로 7-1|매일 10:00 ~ 00:20|02-966-8526
티그라운드|서울 동대문구 사가정로 272 1층|월~금 08:00 ~ 22:00|
끌레베르 베이글&치즈|서울 동대문구 경희대로 7|매일 09:00 ~ 20:30|02-3295-2022
카페하인나|서울 동대문구 전농로 43 1층|월~금 09:00 ~ 22:40|02-2216-7194
