카페명|주소|영업시간|전화번호
성북동빵공장|서울 성북구 대사관로 40 B동 1~3층|매일 10:00 ~ 21:50|02-762-3450
수연산방|서울 성북구 성북로26길 8 상허 이태준 가옥|수~금 11:30 ~ 17:50|02-764-1736
해로커피|서울 성북구 성북로 19-3 1층|매일 11:00 ~ 22:00|02-6012-9871
카페루틴|서울 성북구 보문로34가길 6 1층|매일 11:00 ~ 22:00|02-6489-4589
죠셉의커피나무|서울 성북구 성북로31길 65|매일 11:30 ~ 22:00|02-741-1060
폴드커피|서울 성북구 종암로 214-3 1,2층|월,수,목,금,토,일 12:00 ~ 22:00|
커피명가 안암점|서울 성북구 안암로5길 40 java빌딩 1층|월~금 09:00 ~ 22:00|02-928-0892
로스디아스|서울 성북구 동소문로22길 67 2층|매일 12:00 ~ 21:00|02-921-4830
째즈스토리|서울 성북구 혜화로 88|매일 17:00 ~ 02:00|02-725-6537
스타벅스 성신여대점|서울 성북구 동소문로24길 12|월~금 07:00 ~ 22:00|1522-3232
카페그리다|서울 성북구 솔샘로 19 1층|화~토 11:00 ~ 20:00|02-909-4987
카페작약|서울 성북구 보문로32길 14 2층||070-7740-0259
정이정|서울 성북구 종암로 82-15|월~금 11:00 ~ 21:30|
모블러|서울 성북구 동소문로26다길 26|매일 11:00 ~ 21:00|
사만 커피 로스터스|서울 성북구 성북로6길 2-2 1층|월,화,수,목,토 10:00 ~ 22:00|0504-0952-2271
네이버후드|서울 성북구 대사관로 133 1,2층|매일 10:00 ~ 22:00|
스타벅스 길음역점|서울 성북구 정릉로 376|월~토 07:00 ~ 22:00|1522-3232
더홈서울|서울 성북구 고려대로1길 87|월,수,목,금,토,일 13:00 ~ 22:00|
카페뮬|서울 성북구 동소문로22길 64 2층|월~금 10:00 ~ 02:00|02-6084-6083
스타벅스 성신여대정문점|서울 성북구 보문로34길 62|월~금 07:00 ~ 21:00|1522-3232(팩스)
까쉬|서울 성북구 보문로34길 72-5 1층|매일 11:00 ~ 22:00|
스타벅스 종암DT점|서울 성북구 종암로 17|월~금 07:00 ~ 22:00|1522-3232
밀월|서울 성북구 동소문동4가 16|화~토 12:00 ~ 20:00|
커피스토어|서울 성북구 안암로5길 72|화~금 12:00 ~ 21:00|
스타벅스 안암역점|서울 성북구 고려대로 102-2|월~금 07:30 ~ 20:00|1522-3232
카페구월|서울 성북구 보문로30길 43 1~3층|월~토 10:00 ~ 22:00|070-8875-2624
일상|서울 성북구 성북로 106|수~일 12:00 ~ 18:00|
기쁜소식|서울 성북구 종암로10길 26 1층||010-4448-6712
카페온더플랜|서울 성북구 동소문로22길 39-4|매일 08:00 ~ 05:00|02-6215-1020
커피매터스|서울 성북구 동소문로10길 19-1 1층|월,화,목,토,일 12:00 ~ 19:00|070-4143-5732
스타벅스 한성대입구역점|서울 성북구 성북로 11|화~토 07:00 ~ 22:00|1522-3232
일일커피|서울 성북구 삼양로 27|화~일 10:30 ~ 20:30|070-8845-3583
소설원서가|서울 성북구 동소문로 37|월~금 08:30 ~ 21:00|
카페하늘|서울 성북구 성북로28길 6-5 K빌딩 1층|월~토 10:00 ~ 21:00|02-741-0640
카페1976|서울 성북구 도봉로 1|월~토 07:30 ~ 22:00|02-989-8613
투썸플레이스 성신여대점|서울 성북구 동소문로20다길 17 2층|매일 09:00 ~ 24:00|02-923-7707
피알디|서울 성북구 동소문로25길 9 휴림빌딩 1층 101호|화~일 12:00 ~ 22:00|02-929-4049
스타벅스 종암점|서울 성북구 종암로 122|월~금 07:00 ~ 21:00|1522-3232
원오프카페|서울 성북구 동소문로22길 57-4 2층|화~일 12:00 ~ 21:00|
카페마노아 성신여대점|서울 성북구 보문로34길 51 2층|월~토 09:00 ~ 18:00|02-921-1291
언더그라운드커피웍스|서울 성북구 정릉로6길 23|월~토 11:00 ~ 22:00|010-2352-8505
스타벅스 월곡역점|서울 성북구 화랑로 76 1층 101-1호|월~금 07:00 ~ 21:00|1522-3232
샐러드프린세스|서울 성북구 화랑로13길 42 2층 202호|월~금 10:00 ~ 20:30|02-916-0027
카페어바웃|서울 성북구 장월로1마길 5 1층|월~금 10:00 ~ 22:00|02-916-8001
